

Report Title:,Court_229_2021
Site:,Kowloon West M+


Date,Court 229 Chan: 1 C,Court 229 Chan: 2 %RH
12/5/2021 8:00:00 AM,23.40,62.20
12/5/2021 11:53:00 AM,24.80,61.00
12/5/2021 11:57:50 AM,25.10,57.90
12/5/2021 12:02:42 PM,25.20,57.20
12/5/2021 12:07:39 PM,25.20,57.30
12/5/2021 12:12:49 PM,25.20,57.30
12/5/2021 12:15:00 PM,25.20,57.30
12/5/2021 12:17:56 PM,25.20,57.10
12/5/2021 12:22:51 PM,25.20,57.40
12/5/2021 12:27:55 PM,25.10,57.70
12/5/2021 12:30:00 PM,25.20,56.80
12/5/2021 12:32:45 PM,25.20,56.60
12/5/2021 12:37:40 PM,24.80,57.20
12/5/2021 12:42:45 PM,24.80,57.60
12/5/2021 12:45:00 PM,24.80,57.40
12/5/2021 12:47:44 PM,24.80,57.70
12/5/2021 12:52:41 PM,24.80,57.90
12/5/2021 12:57:32 PM,24.60,57.90
12/5/2021 1:00:00 PM,24.60,58.00
12/5/2021 1:02:34 PM,24.60,58.20
12/5/2021 1:07:31 PM,24.60,58.10
12/5/2021 1:12:23 PM,24.60,58.00
12/5/2021 1:15:00 PM,24.60,58.40
12/5/2021 1:17:22 PM,24.60,58.20
12/5/2021 1:22:20 PM,24.60,58.10
12/5/2021 1:27:21 PM,24.80,57.30
12/5/2021 1:30:00 PM,24.80,57.70
12/5/2021 1:37:22 PM,24.80,57.70
12/5/2021 1:42:14 PM,24.60,57.80
12/5/2021 1:45:00 PM,24.60,57.70
12/5/2021 1:47:18 PM,24.80,57.60
12/5/2021 1:52:15 PM,24.80,57.60
12/5/2021 1:57:22 PM,24.80,57.50
12/5/2021 2:00:00 PM,24.80,57.50
12/5/2021 2:02:17 PM,24.80,57.80
12/5/2021 2:07:08 PM,24.80,57.00
12/5/2021 2:12:00 PM,24.80,56.60
12/5/2021 2:15:00 PM,24.80,56.70
12/5/2021 2:17:01 PM,24.80,56.90
12/5/2021 2:22:11 PM,24.80,57.20
12/5/2021 2:27:15 PM,24.60,57.70
12/5/2021 2:30:00 PM,24.80,57.30
12/5/2021 2:32:23 PM,24.80,57.30
12/5/2021 2:37:20 PM,24.80,57.60
12/5/2021 2:42:23 PM,24.80,57.80
