
"Exported Sensor Data"
"Date Start:","2021-01-01 00:00:00"
"Date End:","2022-01-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-06-21 10:51:27"

"L11 Back Lounge",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2021-06-21 14:17:20",24.6,55.7
"2021-06-21 14:22:17",25,54.7
"2021-06-21 14:27:26",25.2,53.4
"2021-06-21 14:32:26",25.1,52.8
"2021-06-21 14:37:19",25,52.4
"2021-06-21 14:42:20",24.8,52.7
"2021-06-21 14:47:10",24.3,54.3
"2021-06-21 14:52:03",24.1,54.6
"2021-06-21 14:57:11",24,54.3
"2021-06-21 15:02:20",24.1,53.9
"2021-06-21 15:07:18",24.1,53.5
"2021-06-21 15:12:07",24,53.4
"2021-06-21 15:17:11",24,53.3
"2021-06-21 15:22:16",24,53.2
"2021-06-21 15:27:05",23.8,53.2
"2021-06-21 15:32:04",23.8,53.4
"2021-06-21 15:41:59",23.8,53.5
"2021-06-21 15:46:57",23.8,53.6
"2021-06-21 15:51:49",23.8,54.2
"2021-06-21 15:56:48",23.6,54.5
"2021-06-21 16:01:57",23.6,54.6
"2021-06-21 16:06:53",23.6,54.8
"2021-06-21 16:11:48",23.4,55.1
"2021-06-21 16:16:37",23.4,55.4
"2021-06-21 16:21:43",23.4,55.9
"2021-06-21 16:26:33",23.4,56.1
"2021-06-21 16:31:36",23.4,56.3
"2021-06-21 16:36:29",23.4,56.5
"2021-06-21 16:41:22",23.4,56.8
"2021-06-21 16:46:15",23.2,57
"2021-06-21 16:51:19",23.2,57.2
"2021-06-21 16:56:14",23.2,57.6
"2021-06-21 17:01:07",23.2,57.8
"2021-06-21 17:06:12",23.2,58
"2021-06-21 17:11:07",23.2,58.3
"2021-06-21 17:16:12",23.2,58.4
"2021-06-21 17:21:07",23.2,58.4
"2021-06-21 17:26:09",23.2,58.4
"2021-06-21 17:31:11",23.2,58.6
"2021-06-21 17:36:09",23.2,58.4
"2021-06-21 17:41:16",23.2,58
"2021-06-21 17:46:05",23.2,58.2
"2021-06-21 17:51:13",23.2,58.3
"2021-06-21 17:56:05",23.2,58.1
"2021-06-21 18:06:10",23.2,58.3
"2021-06-21 18:11:15",23.2,60.4
"2021-06-21 18:12:46",23.4,59.7
"2021-06-21 18:16:16",23.2,60.6
"2021-06-21 18:16:31",23.4,59.7
"2021-06-21 18:19:23",23.6,59.4
"2021-06-21 18:21:23",23.4,59.5
"2021-06-21 18:22:22",23.4,58.7
"2021-06-21 18:25:21",23.6,58.7
"2021-06-21 18:26:28",23.4,59.7
"2021-06-21 18:28:21",23.6,58.7
"2021-06-21 18:31:26",23.2,59.6
"2021-06-21 18:34:12",23.4,58.4
"2021-06-21 18:36:35",23.4,59.1
"2021-06-21 18:37:19",23.4,58.1
"2021-06-21 18:40:22",23.4,58.4
"2021-06-21 18:41:28",23.2,59.3
"2021-06-21 18:43:26",23.4,58.7
"2021-06-21 18:45:00",23.2,59.6
"2021-06-21 18:46:19",23.2,59.8
"2021-06-21 18:46:30",23.4,58.9
"2021-06-21 18:49:26",23.2,59.2
"2021-06-21 18:51:12",23.2,60.1
"2021-06-21 18:55:32",23.2,59.6
"2021-06-21 18:56:19",23.2,60.5
"2021-06-21 18:58:29",23.2,59.8
"2021-06-21 19:00:00",23,60.6
"2021-06-21 19:01:25",23.2,60.1
"2021-06-21 19:04:22",23,60.3
"2021-06-21 19:06:33",23,60.9
"2021-06-21 19:07:12",23,60.3
"2021-06-21 19:10:19",23,60.4
"2021-06-21 19:11:41",23,60.9
"2021-06-21 19:13:26",23,60.3
"2021-06-21 19:15:00",23,60.9
"2021-06-21 19:16:18",23,60.4
"2021-06-21 19:16:40",23,60.9
"2021-06-21 19:19:24",23,60.5
"2021-06-21 19:22:22",23,60.5
"2021-06-21 19:25:24",22.8,60.6
"2021-06-21 19:28:29",22.8,60.6
"2021-06-21 19:30:00",22.8,61.1
"2021-06-21 19:31:30",22.8,61.1
"2021-06-21 19:34:19",22.8,60.6
"2021-06-21 19:36:26",22.8,61
"2021-06-21 19:40:05",22.8,60.6
"2021-06-21 19:41:27",22.8,61
"2021-06-21 19:43:12",22.8,60.6
"2021-06-21 19:45:00",22.8,61.1
"2021-06-21 19:46:05",22.8,60.8
"2021-06-21 19:46:25",22.8,61.2
"2021-06-21 19:49:05",22.6,60.8
"2021-06-21 19:51:23",22.8,61.4
"2021-06-21 19:52:09",22.8,60.9
"2021-06-21 19:54:57",22.6,60.9
"2021-06-21 19:56:32",22.6,61.4
"2021-06-21 19:57:55",22.6,60.9
"2021-06-21 20:00:00",22.6,61.4
"2021-06-21 20:00:51",22.6,60.9
"2021-06-21 20:01:41",22.6,61.3
"2021-06-21 20:06:30",22.6,61.5
"2021-06-21 20:06:40",22.6,61
"2021-06-21 20:11:21",22.6,61.7
"2021-06-21 20:12:26",22.6,61.2
"2021-06-21 20:15:00",22.6,61.7
"2021-06-21 20:15:28",22.6,61.2
"2021-06-21 20:16:20",22.6,61.8
"2021-06-21 20:18:24",22.6,61.3
"2021-06-21 20:21:19",22.6,61.3
"2021-06-21 20:24:26",22.6,61.5
"2021-06-21 20:26:13",22.6,61.9
"2021-06-21 20:27:20",22.6,61.4
"2021-06-21 20:30:00",22.6,62
"2021-06-21 20:30:16",22.6,61.5
"2021-06-21 20:31:13",22.6,62
"2021-06-21 20:33:11",22.6,61.6
"2021-06-21 20:35:59",22.6,61.5
"2021-06-21 20:36:10",22.6,62
"2021-06-21 20:39:02",22.4,61.6
"2021-06-21 20:41:15",22.4,62
"2021-06-21 20:45:01",22.4,61.8
"2021-06-21 20:46:11",22.4,62.3
"2021-06-21 20:47:57",22.4,62
"2021-06-21 20:50:54",22.4,62.2
"2021-06-21 20:51:00",22.4,62.7
"2021-06-21 20:53:59",22.4,62.4
"2021-06-21 20:56:09",22.4,62.8
"2021-06-21 20:56:48",22.4,62.3
"2021-06-21 20:59:44",22.4,62.4
"2021-06-21 21:00:00",22.4,62.9
"2021-06-21 21:01:16",22.4,62.9
"2021-06-21 21:02:33",22.4,62.5
