
"Exported Sensor Data"
"Date Start:","2021-01-01 00:00:00"
"Date End:","2022-01-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-06-20 09:21:44"

"Main E3 case",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2021-07-06 09:52:44",23,57.9
"2021-07-06 10:02:36",22.4,60.8
"2021-07-06 10:07:26",22.2,61.3
"2021-07-06 10:12:32",22,61.9
"2021-07-06 10:22:20",22.2,60.8
"2021-07-06 10:27:12",22.4,60.1
"2021-07-06 10:32:06",22.4,60.1
"2021-07-06 10:37:06",22.2,60.4
"2021-07-06 10:42:06",22.2,60.4
"2021-07-06 10:47:12",22.2,60.4
"2021-07-06 10:52:15",22.4,59.7
"2021-07-06 10:57:13",22.6,59.4
"2021-07-06 11:02:22",22.6,59.3
"2021-07-06 11:07:21",22.6,58.9
"2021-07-06 11:12:30",22.6,58.5
"2021-07-06 11:17:38",22.6,58.5
"2021-07-06 11:22:46",22.6,58.2
"2021-07-06 11:27:51",22.8,58.2
"2021-07-06 11:32:45",22.8,58
"2021-07-06 11:37:43",22.6,58.7
"2021-07-06 11:42:32",22.4,59
"2021-07-06 11:47:23",22.6,58.8
"2021-07-06 11:52:24",22.6,58.2
"2021-07-06 11:57:22",22.8,58
"2021-07-06 12:02:25",22.8,57.7
"2021-07-06 12:12:29",23,57.2
"2021-07-06 12:17:19",23,57.1
"2021-07-06 12:22:28",23,57.1
"2021-07-06 12:27:30",23,57.1
"2021-07-06 12:32:30",23,56.9
"2021-07-06 12:37:35",23,56.7
"2021-07-06 12:42:25",23,56.7
"2021-07-06 12:47:28",23,56.7
"2021-07-06 12:57:26",23,56.4
"2021-07-06 13:02:21",23,56.3
"2021-07-06 13:07:16",23,56.3
"2021-07-06 13:12:12",23,56.5
"2021-07-06 13:17:14",23,56.7
"2021-07-06 13:22:09",23,56.5
"2021-07-06 13:27:10",23,56.4
"2021-07-06 13:32:08",23,56.6
"2021-07-06 13:37:12",23,56.5
"2021-07-06 13:42:08",23,56.2
"2021-07-06 13:47:17",23,56.4
"2021-07-06 13:57:15",23.2,56.2
"2021-07-06 14:02:22",23.2,56.5
"2021-07-06 14:07:23",23.2,56.5
"2021-07-06 14:12:32",23.2,56
"2021-07-06 14:17:33",23.2,56.2
"2021-07-06 14:32:27",22.8,56.5
"2021-07-06 14:37:25",22.8,56.3
"2021-07-06 14:42:30",22.8,56.5
"2021-07-06 14:47:39",22.8,56.5
"2021-07-06 14:52:28",22.8,56.4
"2021-07-06 14:57:36",22.6,56.3
"2021-07-06 15:02:43",22.6,56.3
"2021-07-06 15:07:34",22.6,56.1
"2021-07-06 15:12:27",22.6,56
"2021-07-06 15:17:18",22.8,55.8
"2021-07-06 15:22:24",22.6,56.3
"2021-07-06 15:37:24",23.8,55.9
"2021-07-06 15:47:21",24.1,51.1
"2021-07-06 16:51:29",24.5,49.6
"2021-07-06 16:56:21",24.5,50.8
"2021-07-06 17:01:25",24.6,50.9
"2021-07-06 17:06:16",24.6,50.8
"2021-07-06 17:16:00",24.8,50.9
"2021-07-06 17:21:03",24.8,49.8
"2021-07-06 17:25:54",24.8,50.2
"2021-07-06 17:30:49",24.8,50.2
"2021-07-06 17:35:40",24.8,50.5
"2021-07-06 17:40:30",24.8,50
"2021-07-06 17:45:22",24.8,50
"2021-07-06 17:50:17",24.8,49.5
"2021-07-06 17:55:19",24.8,49.4
"2021-07-06 18:00:23",24.8,49.6
"2021-07-06 18:05:31",24.8,49.3
"2021-07-06 18:10:22",24.8,49.2
"2021-07-06 18:15:15",24.8,49.4
"2021-07-06 18:20:24",24.8,48.9
"2021-07-06 18:25:23",24.8,48.7
"2021-07-06 18:30:21",24.6,48.7
"2021-07-06 18:55:37",24.6,48.6
"2021-07-06 19:05:42",24.6,48.9
"2021-07-06 19:15:39",24.6,48.7
"2021-07-06 19:25:42",24.6,48.4
"2021-07-06 19:30:48",24.6,48.3
"2021-07-06 19:35:55",24.6,48.5
"2021-07-06 19:50:56",24.6,48
"2021-07-06 19:56:00",24.6,48.2
"2021-07-06 20:21:15",24.6,48.2
"2021-07-06 20:26:20",24.6,48.5
"2021-07-06 20:41:25",24.5,48.5
"2021-07-06 20:51:30",24.5,48.7
"2021-07-06 20:56:30",24.5,48.7
"2021-07-06 21:26:42",24.5,49.1
"2021-07-06 21:31:35",24.5,48.9
"2021-07-06 21:36:27",24.5,49.1
"2021-07-06 21:41:35",24.5,48.9
"2021-07-06 21:51:20",24.3,49
"2021-07-06 22:06:10",24.3,49
"2021-07-06 22:36:07",24.3,49.1
"2021-07-06 23:00:50",24.3,49.1
"2021-07-06 23:21:13",24.3,48.9
"2021-07-06 23:31:11",24.3,48.8
"2021-07-06 23:36:02",24.3,48.9
"2021-07-06 23:46:03",24.3,49.1
"2021-07-07 00:01:01",24.3,49.3
"2021-07-07 00:06:07",24.3,49.2
"2021-07-07 00:21:25",24.3,49.2
"2021-07-07 00:31:15",24.3,49.4
"2021-07-07 00:36:20",24.3,49.2
"2021-07-07 00:41:28",24.3,49.3
"2021-07-07 00:56:23",24.3,49
"2021-07-07 01:11:20",24.1,49.1
"2021-07-07 01:36:11",24.1,49.3
"2021-07-07 01:41:22",24.1,49.2
"2021-07-07 01:46:22",24.1,49.2
"2021-07-07 01:51:13",24.1,49.3
"2021-07-07 01:56:12",24.1,49.6
"2021-07-07 02:15:54",24.1,49.4
"2021-07-07 02:21:00",24.1,49.4
"2021-07-07 02:30:49",24.1,49.5
"2021-07-07 02:40:53",24.1,49.3
"2021-07-07 02:50:39",24.1,49.2
"2021-07-07 02:55:41",24.1,49.2
"2021-07-07 03:15:32",24.1,49.4
"2021-07-07 03:25:39",24.1,49.4
"2021-07-07 03:35:45",24.1,49.4
"2021-07-07 03:40:49",24.1,49.4
"2021-07-07 03:50:48",24.1,49.5
"2021-07-07 04:06:09",24.1,49.7
"2021-07-07 04:16:16",24.1,49.6
"2021-07-07 04:26:15",24.1,49.7
"2021-07-07 04:36:18",24.1,49.7
"2021-07-07 04:41:28",24.1,49.7
"2021-07-07 04:46:21",24.1,49.8
"2021-07-07 04:51:18",24.1,49.8
"2021-07-07 05:01:20",24.1,49.6
"2021-07-07 05:06:10",24.1,49.9
"2021-07-07 05:11:15",24.1,49.6
"2021-07-07 05:16:06",24.1,49.7
"2021-07-07 05:26:18",24.1,49.6
"2021-07-07 05:46:08",24,49.5
"2021-07-07 05:56:11",24,49.2
"2021-07-07 06:01:19",24,49.3
"2021-07-07 06:11:16",24,49.1
"2021-07-07 06:16:20",24,49.1
"2021-07-07 06:21:20",24,49.3
"2021-07-07 06:26:21",24,49
"2021-07-07 06:31:14",24,49.3
"2021-07-07 06:41:16",24,49.2
"2021-07-07 06:46:24",24,49.2
"2021-07-07 06:51:23",24,49.1
"2021-07-07 06:56:27",24,49.2
"2021-07-07 07:01:22",24,49.4
"2021-07-07 07:16:03",24,49.6
"2021-07-07 07:21:08",24,49.3
"2021-07-07 07:31:19",24,49.4
"2021-07-07 07:46:20",24,49.7
"2021-07-07 07:56:15",24,50
"2021-07-07 08:01:17",24,50
"2021-07-07 08:06:06",24,50.2
"2021-07-07 08:10:55",24,50.3
"2021-07-07 08:16:00",24,50.5
"2021-07-07 08:20:59",24,50.8
"2021-07-07 08:26:02",24.1,50.6
"2021-07-07 08:31:06",24.1,50.9
"2021-07-07 08:41:21",24.1,51.4
"2021-07-07 08:56:34",24.3,51.5
"2021-07-07 09:11:28",24.3,51.5
"2021-07-07 09:21:46",24.3,51.4
"2021-07-07 09:26:42",24.3,51.2
"2021-07-07 09:31:42",24.3,51.5
"2021-07-07 09:36:32",24.5,51.5
"2021-07-07 09:41:26",24.5,51.7
"2021-07-07 09:46:19",24.5,51.7
"2021-07-07 09:51:23",24.6,51.9
"2021-07-07 10:01:16",24.6,51.8
"2021-07-07 10:06:08",24.6,51.9
"2021-07-07 10:11:18",24.6,51.5
"2021-07-07 10:16:18",24.6,51.2
"2021-07-07 10:21:15",24.6,51.4
"2021-07-07 10:26:11",24.6,51.2
"2021-07-07 10:36:09",24.8,51.2
"2021-07-07 10:41:07",24.8,51.4
"2021-07-07 10:46:14",24.8,51.2
"2021-07-07 10:51:07",24.8,51.5
"2021-07-07 10:56:03",24.8,51.2
"2021-07-07 11:01:13",24.8,51.4
"2021-07-07 11:06:05",24.8,50.9
"2021-07-07 11:11:13",24.8,51.2
"2021-07-07 11:21:24",24.8,50.2
"2021-07-07 11:51:29",24.8,50.8
"2021-07-07 11:56:32",24.8,51.2
"2021-07-07 12:01:39",24.8,51.4
"2021-07-07 12:06:39",24.8,51.7
"2021-07-07 12:11:31",24.8,51.5
"2021-07-07 12:21:38",24.8,51.7
"2021-07-07 12:26:44",24.8,51.2
"2021-07-07 12:31:51",24.8,51.1
"2021-07-07 12:36:58",24.8,51.5
"2021-07-07 12:47:03",24.8,50.6
"2021-07-07 13:06:52",24.6,49.8
"2021-07-07 14:07:04",24.6,50.1
"2021-07-07 14:32:02",24.8,50.4
"2021-07-07 14:57:12",25,50
"2021-07-07 15:22:15",24.8,49.2
"2021-07-07 15:42:18",24.6,50
"2021-07-07 15:47:09",24.6,49.9
"2021-07-07 15:52:03",24.6,50.2
"2021-07-07 16:01:44",24.6,50.5
"2021-07-07 16:16:51",24.6,49.9
"2021-07-07 16:36:37",24.6,49.3
"2021-07-07 17:16:23",24.3,49.5
"2021-07-07 19:16:22",24,50
"2021-07-08 01:15:03",23.2,51.4
"2021-07-08 02:24:52",23.2,51.2
"2021-07-08 07:48:38",23,50.6
"2021-07-08 09:18:58",23.6,50
"2021-07-08 09:58:07",23.8,50.1
"2021-07-08 10:03:00",23.8,50
"2021-07-08 10:23:04",24,50.1
"2021-07-08 10:28:00",24,50.1
"2021-07-08 10:32:56",24,50.5
"2021-07-08 10:38:02",24,50.7
"2021-07-08 10:47:57",24,50.6
"2021-07-08 10:52:54",24.1,50.6
"2021-07-08 11:07:54",24.1,50
"2021-07-08 11:13:03",24.1,49.9
"2021-07-08 11:17:54",24.3,49.4
"2021-07-08 11:32:59",24.3,49.3
"2021-07-08 11:38:03",24.3,49.3
"2021-07-08 11:42:55",24.3,49.5
"2021-07-08 12:02:56",24.3,49.7
"2021-07-08 12:07:54",24.3,49.8
"2021-07-08 12:12:44",24.3,49.7
"2021-07-08 12:17:52",24.5,49.9
"2021-07-08 12:22:46",24.5,49.8
"2021-07-08 12:32:43",24.5,49.4
"2021-07-08 12:37:50",24.5,49.1
"2021-07-08 12:42:57",24.5,49.1
"2021-07-08 12:48:05",24.3,48.8
"2021-07-08 12:52:55",24.5,48.9
"2021-07-08 13:02:36",24.5,48.7
"2021-07-08 13:22:49",24.5,48.3
"2021-07-08 13:27:40",24.5,48.4
"2021-07-08 13:32:41",24.5,48.5
"2021-07-08 13:37:45",24.5,48.4
"2021-07-08 14:32:25",24.6,48.2
"2021-07-08 14:37:34",24.6,48.6
"2021-07-08 14:47:36",24.6,48.9
"2021-07-08 14:52:44",24.6,48.9
"2021-07-08 15:02:58",24.6,49.2
"2021-07-08 15:08:07",24.6,49.4
"2021-07-08 15:42:48",24.6,49
"2021-07-08 15:47:55",24.6,48.9
"2021-07-08 15:58:03",24.6,49
"2021-07-08 16:03:00",24.6,48.6
"2021-07-08 16:08:02",24.6,48.8
"2021-07-08 16:13:06",24.6,48.7
"2021-07-08 16:17:59",24.6,49.1
"2021-07-08 16:22:49",24.6,48.6
"2021-07-08 16:27:39",24.6,48.7
"2021-07-08 16:32:43",24.6,48.9
"2021-07-08 16:37:37",24.6,48.8
"2021-07-08 16:47:20",24.6,49.3
"2021-07-08 16:52:23",24.6,48.9
"2021-07-08 16:57:24",24.6,49
"2021-07-08 17:02:21",24.6,48.8
"2021-07-08 17:12:36",24.6,49.1
"2021-07-08 17:17:29",24.6,49.4
"2021-07-08 17:22:26",24.6,49.2
"2021-07-08 17:27:20",24.6,48.9
"2021-07-08 17:32:21",24.6,49
"2021-07-08 17:42:10",24.6,48.8
"2021-07-08 23:27:36",24.1,48.9
"2021-07-09 02:23:21",24,48.6
"2021-07-09 07:03:57",24,49.1
"2021-07-09 09:33:38",24.3,47.9
"2021-07-09 09:43:45",24.3,48.7
"2021-07-09 10:28:48",24.3,49
"2021-07-09 14:54:44",24.3,48.8
"2021-07-09 14:59:38",24.3,48.9
"2021-07-09 15:04:35",24.3,48.8
"2021-07-09 15:14:30",24.3,48.6
