
"Exported Sensor Data"
"Date Start:","2021-01-01 00:00:00"
"Date End:","2022-01-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-06-21 10:02:56"

"South 223",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2021-05-12 08:00:00",24.5,66.8
"2021-05-12 11:58:46",25.3,57.3
"2021-05-12 12:03:40",25.3,56.8
"2021-05-12 12:08:41",25.3,56.7
"2021-05-12 12:13:51",25.3,57.1
"2021-05-12 12:15:00",25.3,57
"2021-05-12 12:18:50",25.5,56.8
"2021-05-12 12:23:52",25.3,57.2
"2021-05-12 12:29:02",25.3,57
"2021-05-12 12:30:00",25.3,56.6
"2021-05-12 12:34:03",25.2,56.2
"2021-05-12 12:39:06",25.1,56.9
"2021-05-12 12:43:58",25.2,56.9
"2021-05-12 12:45:00",25.2,56.8
"2021-05-12 12:49:08",25.3,56.4
"2021-05-12 12:59:08",25.2,56.5
"2021-05-12 13:00:00",25.2,56.6
"2021-05-12 13:04:01",25.2,56.7
"2021-05-12 13:08:59",25.1,56.6
"2021-05-12 13:14:04",25.1,57
"2021-05-12 13:15:00",25.1,57
"2021-05-12 13:19:03",25.3,56.2
"2021-05-12 13:24:10",25.2,56.6
"2021-05-12 13:29:04",25.3,56
"2021-05-12 13:30:00",25.3,56
"2021-05-12 13:34:06",25.2,56.6
"2021-05-12 13:39:04",25.3,56
"2021-05-12 13:44:12",25.2,56.4
"2021-05-12 13:45:00",25.2,56.2
"2021-05-12 13:54:06",25.3,56.2
"2021-05-12 13:58:57",25.5,55.7
"2021-05-12 14:00:00",25.5,55.8
"2021-05-12 14:03:57",25.5,55.8
"2021-05-12 14:08:47",25.5,55.4
"2021-05-12 14:13:56",25.5,55
"2021-05-12 14:15:00",25.5,55
"2021-05-12 14:18:51",25.2,55.6
"2021-05-12 14:23:54",25.2,55.9
"2021-05-12 14:28:56",25.2,56
"2021-05-12 14:30:00",25.5,55.6
"2021-05-12 14:33:47",25.5,55.6
"2021-05-12 14:38:40",25.3,56.1
"2021-05-12 14:43:38",25.3,56.5
