
"Exported Sensor Data"
"Date Start:","2021-01-01 00:00:00"
"Date End:","2022-01-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-06-21 10:12:57"

"South 226 case",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2021-09-30 11:28:31",23.4,52.1
"2021-09-30 11:33:21",23.4,52
"2021-09-30 11:38:19",23.4,52.5
"2021-09-30 11:43:25",23.4,52.8
"2021-09-30 11:48:32",23.4,52.7
"2021-09-30 11:53:33",23.4,52.3
"2021-09-30 11:58:25",23.4,52.3
"2021-09-30 12:03:15",23.4,51.8
"2021-09-30 12:08:23",23.4,52.2
"2021-09-30 12:13:13",23.6,51.9
"2021-09-30 12:18:21",23.6,51.9
"2021-09-30 12:23:22",23.6,51.8
"2021-09-30 12:28:21",23.6,51.3
"2021-09-30 12:33:13",23.6,51.8
"2021-09-30 12:38:10",23.6,51.5
"2021-09-30 12:43:06",23.6,51.7
"2021-09-30 12:47:58",23.6,52.4
"2021-09-30 12:58:02",23.8,52.4
"2021-09-30 13:03:09",23.8,52.7
"2021-09-30 13:08:04",23.8,52.8
"2021-09-30 13:12:59",23.8,52.2
"2021-09-30 13:18:09",23.8,52.3
"2021-09-30 13:23:03",23.8,52.1
"2021-09-30 13:28:13",23.8,51.9
"2021-09-30 13:33:04",23.8,52.1
"2021-09-30 13:38:12",23.8,51.8
"2021-09-30 13:43:15",23.8,52
"2021-09-30 13:48:24",23.8,52.1
"2021-09-30 13:53:13",23.8,52
"2021-09-30 13:58:14",23.8,51.9
"2021-09-30 14:03:14",23.8,52.1
"2021-09-30 14:08:08",23.6,52
"2021-09-30 14:13:01",23.6,51.9
"2021-09-30 14:17:53",23.6,52
"2021-09-30 14:22:47",23.6,51.9
"2021-09-30 14:27:37",23.6,51.3
"2021-09-30 14:32:47",23.6,51.7
"2021-09-30 14:37:56",23.6,51.8
"2021-09-30 14:47:53",23.6,51.9
"2021-09-30 14:52:49",23.6,52.3
"2021-09-30 15:02:50",23.4,52.4
"2021-09-30 15:07:45",23.4,52.2
"2021-09-30 15:12:47",23.4,52.3
"2021-09-30 15:17:36",23.4,53
"2021-09-30 15:22:33",23.4,52.8
"2021-09-30 15:27:35",23.6,52
"2021-09-30 15:32:37",23.6,52.2
"2021-09-30 15:37:27",23.6,52.2
"2021-09-30 15:42:37",23.8,52.4
"2021-09-30 15:47:41",23.6,52.2
"2021-09-30 15:52:32",23.8,52.3
"2021-09-30 15:57:39",23.8,52.4
"2021-09-30 16:02:34",23.8,52.6
"2021-09-30 16:07:44",23.8,52.3
"2021-09-30 16:12:36",23.8,52.7
"2021-09-30 16:17:43",23.8,53.1
"2021-09-30 16:22:33",23.8,53.2
"2021-09-30 16:27:26",23.8,53.2
"2021-09-30 16:32:32",23.8,52.9
"2021-09-30 16:37:34",23.8,52.8
"2021-09-30 16:42:41",23.8,53.3
"2021-09-30 16:47:50",23.8,53.1
"2021-09-30 16:53:00",23.8,53.4
"2021-09-30 16:57:57",23.6,53.4
"2021-09-30 17:02:53",23.6,53.7
"2021-09-30 17:08:03",23.6,53.9
"2021-09-30 17:13:00",23.8,53.9
"2021-09-30 17:18:07",23.8,53.6
"2021-09-30 17:23:05",23.8,54.2
"2021-09-30 17:37:51",23.6,54.3
"2021-09-30 17:42:41",23.6,54.5
"2021-09-30 17:47:47",23.4,54.6
"2021-09-30 17:52:51",23.4,54.6
"2021-09-30 17:57:55",23.4,54.2
"2021-09-30 18:02:53",23.4,53.8
"2021-09-30 18:07:58",23.4,53.3
"2021-09-30 18:18:02",23.4,52.7
"2021-09-30 18:22:54",23.2,52.9
"2021-09-30 18:27:53",23.2,53.2
"2021-09-30 18:32:46",23.2,53.7
"2021-09-30 18:37:37",23,54
"2021-09-30 18:42:46",23,54.5
"2021-09-30 18:47:56",23,54.3
"2021-09-30 18:52:47",23,54.7
"2021-09-30 18:57:57",22.8,54.4
"2021-09-30 19:02:58",22.8,55.5
"2021-09-30 19:07:58",22.6,54.9
"2021-09-30 19:12:53",22.6,54.8
"2021-09-30 19:23:03",22.6,55.1
"2021-09-30 19:28:05",22.6,55
"2021-09-30 19:32:54",22.6,55.2
"2021-09-30 19:37:48",22.6,55.1
"2021-09-30 19:42:56",22.6,54.5
"2021-09-30 19:47:47",22.6,54.7
"2021-09-30 19:52:52",22.6,54.8
"2021-09-30 19:57:45",22.6,54.5
"2021-09-30 20:02:51",22.6,54.5
"2021-09-30 20:07:52",22.4,54.8
"2021-09-30 20:12:41",22.4,55.5
"2021-09-30 20:17:37",22.4,55.7
"2021-09-30 20:22:37",22.4,55.5
"2021-09-30 20:27:38",22.4,55.6
"2021-09-30 20:37:38",22.4,55.2
"2021-09-30 20:42:35",22.4,55.7
"2021-09-30 20:47:40",22.4,56
"2021-09-30 20:52:39",22.4,56.2
"2021-09-30 20:57:48",22.4,56
"2021-09-30 21:02:37",22.4,56
"2021-09-30 21:07:38",22.4,55.4
"2021-09-30 21:12:44",22.2,55
"2021-09-30 21:17:34",22.2,55.4
"2021-09-30 21:22:28",22.2,55.3
"2021-09-30 21:27:20",22.2,55.5
"2021-09-30 21:37:27",22.2,56.1
"2021-09-30 21:42:18",22.2,56.8
"2021-09-30 21:47:27",22.2,56.8
"2021-09-30 21:52:34",22.2,56.9
"2021-09-30 21:57:32",22.2,56.8
"2021-09-30 22:02:33",22.2,56.3
"2021-09-30 22:07:24",22.2,55.9
"2021-09-30 22:12:29",22.2,56
"2021-09-30 22:17:23",22.2,55.7
"2021-09-30 22:22:26",22.2,56
"2021-09-30 22:27:21",22.2,56.5
"2021-09-30 22:32:28",22.1,56.7
"2021-09-30 22:37:21",22.1,56.8
"2021-09-30 22:42:25",22.1,56.7
"2021-09-30 22:47:32",22.1,56.5
"2021-09-30 22:52:38",22.1,56.5
"2021-09-30 22:57:42",22.1,56.5
"2021-09-30 23:02:40",22.1,56.8
"2021-09-30 23:07:30",22.1,56.6
"2021-09-30 23:12:29",22.1,56.7
"2021-09-30 23:17:33",22.1,56.9
"2021-09-30 23:22:39",22.1,56.9
"2021-09-30 23:27:41",22,57.3
"2021-09-30 23:32:41",22,57.3
"2021-09-30 23:37:34",22,57.3
"2021-09-30 23:42:34",22,57.4
"2021-09-30 23:47:45",22,57.7
"2021-09-30 23:52:49",22,57.7
