
"Exported Sensor Data"
"Date Start:","2021-01-01 00:00:00"
"Date End:","2022-01-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-06-20 09:15:56"

"Studio 011",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2021-12-03 17:12:21",24.8,29
"2021-12-03 17:25:27",24.5,24
"2021-12-03 17:30:37",23.8,19.8
"2021-12-03 17:35:39",23.6,20
"2021-12-03 17:40:36",23.4,20.3
"2021-12-03 17:45:25",23.2,20.3
"2021-12-03 17:50:15",23.2,20.3
"2021-12-03 17:55:15",23,20.5
"2021-12-03 18:00:10",23,20.5
"2021-12-03 18:05:04",22.8,20.5
"2021-12-03 18:10:06",22.8,20.6
"2021-12-03 18:15:10",22.8,20.7
"2021-12-03 18:20:00",22.8,20.9
"2021-12-03 18:24:50",22.8,20.9
"2021-12-03 18:29:48",22.8,20.7
"2021-12-03 18:34:45",22.8,20.6
"2021-12-03 18:39:51",22.8,20.6
"2021-12-03 18:44:44",22.8,20.6
"2021-12-03 18:49:34",22.8,20.6
"2021-12-03 18:54:25",22.8,20.6
"2021-12-03 18:59:16",22.8,20.4
"2021-12-03 19:04:08",22.8,20.5
"2021-12-03 19:09:00",22.8,20.6
"2021-12-03 19:13:51",22.8,20.6
"2021-12-03 19:18:43",22.6,20.5
"2021-12-03 19:23:37",22.6,20.5
"2021-12-03 19:28:28",22.6,20.5
"2021-12-03 19:33:30",22.6,20.6
"2021-12-03 19:38:30",22.4,20.8
"2021-12-03 19:48:39",22.4,20.9
"2021-12-03 19:53:31",22.4,20.9
"2021-12-03 19:58:31",22.4,21
"2021-12-03 20:03:23",22.2,21
"2021-12-03 20:08:30",22.2,21.1
"2021-12-03 20:18:22",22.2,21.1
"2021-12-03 20:23:16",22.1,21.2
"2021-12-03 20:28:22",22.1,21.3
"2021-12-03 20:33:27",22.1,21.4
"2021-12-03 20:38:30",22,21.4
"2021-12-03 20:43:25",22,21.5
"2021-12-03 20:48:31",22,21.5
"2021-12-03 20:53:28",21.9,21.4
"2021-12-03 20:58:27",21.9,21.4
"2021-12-03 21:03:22",21.9,21.4
"2021-12-03 21:08:11",21.9,21.3
"2021-12-03 21:13:08",21.7,21.3
"2021-12-03 21:18:18",21.7,21.4
"2021-12-03 21:23:10",21.7,21.5
"2021-12-03 21:28:02",21.7,21.4
"2021-12-03 21:32:57",21.6,21.6
"2021-12-03 21:37:47",21.6,21.7
"2021-12-03 21:42:52",21.6,21.8
"2021-12-03 21:47:50",21.6,21.8
"2021-12-03 21:52:52",21.6,21.8
"2021-12-03 21:57:53",21.6,21.8
"2021-12-03 22:12:47",21.4,22
"2021-12-03 22:17:38",21.4,22
"2021-12-03 22:22:34",21.1,22.4
"2021-12-03 22:27:24",21.3,22.3
"2021-12-03 22:32:21",21.3,22.2
"2021-12-03 22:37:16",21.3,22.2
"2021-12-03 22:42:26",21.3,22.2
"2021-12-03 22:47:23",21.3,22.3
"2021-12-03 22:52:22",21.3,22.3
"2021-12-03 22:57:16",21.3,22.4
"2021-12-03 23:02:05",21.3,22.6
"2021-12-03 23:07:02",21.3,22.7
"2021-12-03 23:12:10",21.3,22.8
"2021-12-03 23:17:04",21.3,23
"2021-12-03 23:22:14",21.3,23.1
"2021-12-03 23:27:04",21.3,23.2
"2021-12-03 23:31:58",21.3,23.3
"2021-12-03 23:36:59",21.1,23.3
"2021-12-03 23:41:50",21.1,23.4
"2021-12-03 23:46:53",21.1,23.5
"2021-12-03 23:51:51",21.1,23.7
"2021-12-03 23:56:57",21.1,23.8
"2021-12-04 00:01:50",21.1,24
"2021-12-04 00:06:43",21,24.2
"2021-12-04 00:11:43",21,24.3
"2021-12-04 00:16:48",21,24.4
"2021-12-04 00:21:57",21,24.5
"2021-12-04 00:27:04",21,24.7
"2021-12-04 00:31:54",21,24.8
"2021-12-04 00:37:02",21,24.8
"2021-12-04 00:41:58",21,24.8
"2021-12-04 00:47:01",21,24.8
"2021-12-04 00:52:00",21,24.8
"2021-12-04 00:57:02",21,24.8
"2021-12-04 01:02:10",21,24.8
"2021-12-04 01:07:19",21,24.8
"2021-12-04 01:12:15",21,24.8
"2021-12-04 01:17:05",21,24.7
"2021-12-04 01:22:06",21,24.7
"2021-12-04 01:27:14",21,24.6
"2021-12-04 01:32:17",20.8,24.6
"2021-12-04 01:37:20",21,24.6
"2021-12-04 01:42:16",20.8,24.5
"2021-12-04 01:47:07",20.8,24.5
"2021-12-04 01:51:59",21,24.3
"2021-12-04 01:56:57",21,24.3
"2021-12-04 02:01:57",20.8,24.1
"2021-12-04 02:06:52",20.8,24
"2021-12-04 02:11:49",20.8,24
"2021-12-04 02:16:56",20.8,23.9
"2021-12-04 02:21:51",20.8,23.9
"2021-12-04 02:26:58",20.7,23.8
"2021-12-04 02:32:03",20.7,23.7
"2021-12-04 02:37:08",20.7,23.6
"2021-12-04 02:42:15",20.7,23.5
"2021-12-04 02:47:09",20.7,23.5
"2021-12-04 02:52:07",20.7,23.5
"2021-12-04 02:57:13",20.7,23.5
"2021-12-04 03:02:02",20.6,23.6
"2021-12-04 03:12:13",20.7,23.4
"2021-12-04 03:17:15",20.6,23.5
"2021-12-04 03:22:19",20.6,23.3
"2021-12-04 03:27:15",20.6,23.4
"2021-12-04 03:32:13",20.6,23.3
"2021-12-04 03:37:08",20.6,23.3
"2021-12-04 03:42:10",20.6,23.2
"2021-12-04 03:47:02",20.6,23.2
"2021-12-04 03:52:03",20.6,23.3
"2021-12-04 03:56:54",20.6,23.2
"2021-12-04 04:01:48",20.6,23.3
"2021-12-04 04:06:52",20.6,23.3
"2021-12-04 04:11:54",20.6,23.3
"2021-12-04 04:16:59",20.6,23.3
"2021-12-04 04:21:58",20.3,23.7
"2021-12-04 04:26:51",20.4,23.5
"2021-12-04 04:31:51",20.6,23.4
"2021-12-04 04:36:59",20.6,23.4
"2021-12-04 04:42:07",20.6,23.4
"2021-12-04 04:47:11",20.6,23.3
"2021-12-04 04:52:15",20.6,23.3
"2021-12-04 04:57:05",20.6,23.3
"2021-12-04 05:02:05",20.6,23.2
"2021-12-04 05:06:56",20.6,23.2
"2021-12-04 05:11:58",20.6,23.2
"2021-12-04 05:17:07",20.6,23.3
"2021-12-04 05:21:57",20.4,23.4
"2021-12-04 05:26:51",20.4,23.5
"2021-12-04 05:31:40",20.6,23.5
"2021-12-04 05:36:30",20.4,23.6
"2021-12-04 05:41:19",20.6,23.6
"2021-12-04 05:46:13",20.6,23.8
"2021-12-04 05:51:09",20.4,23.8
"2021-12-04 05:56:19",20.4,23.8
"2021-12-04 06:01:23",20.4,23.9
"2021-12-04 06:06:13",20.4,24
"2021-12-04 06:11:13",20.4,24
"2021-12-04 06:16:17",20.3,23.9
"2021-12-04 06:26:09",20.4,23.9
"2021-12-04 06:31:12",20.4,23.8
"2021-12-04 06:36:17",20.4,23.7
"2021-12-04 06:41:22",20.4,23.7
"2021-12-04 06:46:25",20.4,23.6
"2021-12-04 06:51:22",20.4,23.6
"2021-12-04 06:56:25",20.4,23.5
"2021-12-04 07:01:18",20.3,23.4
"2021-12-04 07:06:25",20.3,23.3
"2021-12-04 07:11:25",20.3,23.3
"2021-12-04 07:16:22",20.3,23.3
"2021-12-04 07:21:13",20.4,23.4
"2021-12-04 07:26:12",20.4,23.4
"2021-12-04 07:31:21",20.4,23.4
"2021-12-04 07:36:15",20.4,23.4
"2021-12-04 07:41:22",20.6,23.4
"2021-12-04 07:46:29",20.6,23.4
"2021-12-04 07:51:19",20.6,23.4
"2021-12-04 07:56:21",20.6,23.3
"2021-12-04 08:01:16",20.7,23.2
"2021-12-04 08:06:07",20.8,23.1
"2021-12-04 08:11:15",20.8,23
"2021-12-04 08:16:05",21,22.9
"2021-12-04 08:21:00",21,22.9
"2021-12-04 08:25:53",21,22.9
"2021-12-04 08:30:46",21.1,22.8
"2021-12-04 08:35:55",21.3,22.8
"2021-12-04 08:41:01",21.3,22.8
"2021-12-04 08:46:09",21.3,22.7
"2021-12-04 08:51:18",21.4,22.6
"2021-12-04 08:56:18",21.4,22.5
"2021-12-04 09:01:07",21.6,22.4
"2021-12-04 09:06:13",21.6,22.3
"2021-12-04 09:11:15",21.6,22.4
"2021-12-04 09:16:15",21.6,22.4
"2021-12-04 09:21:08",21.6,22.4
"2021-12-04 09:26:02",21.7,22.3
"2021-12-04 09:30:52",21.7,22.4
"2021-12-04 09:35:46",21.9,22.5
"2021-12-04 09:40:39",22,22.5
"2021-12-04 09:45:41",22,22.5
"2021-12-04 09:50:40",22.1,22.6
"2021-12-04 09:55:36",22.1,22.6
"2021-12-04 10:00:35",22.2,22.7
"2021-12-04 10:05:41",22.2,22.6
"2021-12-04 10:10:32",22.2,22.4
"2021-12-04 10:15:21",22.2,22.4
"2021-12-04 10:20:11",22.1,22.6
"2021-12-04 10:25:02",22.2,22.3
"2021-12-04 10:29:59",22.4,22.3
"2021-12-04 10:34:48",22.4,22.4
"2021-12-04 10:39:55",22.6,22.6
"2021-12-04 10:44:53",22.6,22.5
"2021-12-04 10:49:58",22.6,22.7
"2021-12-04 10:54:46",22.6,22.9
"2021-12-04 10:59:37",22.8,23
"2021-12-04 11:04:40",22.8,23.1
"2021-12-04 11:09:44",22.8,23.3
"2021-12-04 11:14:34",22.8,23.5
"2021-12-04 11:19:39",23,23.9
"2021-12-04 11:24:39",23,24.1
"2021-12-04 11:29:41",23,24.2
"2021-12-04 11:34:49",23,24.1
"2021-12-04 11:49:41",23.2,23.6
"2021-12-04 11:54:41",23.2,23.5
"2021-12-04 11:59:33",23.2,23.5
"2021-12-04 12:04:34",23.2,23.5
"2021-12-04 12:14:38",23.4,23.3
"2021-12-04 12:19:45",23.4,23.3
"2021-12-04 12:24:44",23.4,23.4
"2021-12-04 12:29:45",23.4,23.6
"2021-12-04 12:34:43",23.4,23.7
"2021-12-04 12:39:41",23.4,23.7
"2021-12-04 12:44:47",23.6,23.9
"2021-12-04 12:49:51",23.6,24.2
"2021-12-04 12:54:50",23.4,24.8
"2021-12-04 12:59:53",23.4,25.2
"2021-12-04 13:04:53",23.4,25.4
"2021-12-04 13:09:47",23.4,25.3
"2021-12-04 13:14:44",23.6,25.3
"2021-12-04 13:19:43",23.4,25.2
"2021-12-04 13:24:46",23.6,25.2
"2021-12-04 13:29:54",23.6,25.4
"2021-12-04 13:35:02",23.6,25.2
"2021-12-04 13:44:52",23.6,25.5
"2021-12-04 13:49:58",23.8,25.3
"2021-12-04 13:54:55",23.8,25.1
"2021-12-04 13:59:49",23.8,25.1
"2021-12-04 14:09:51",23.8,25.4
"2021-12-04 14:14:49",23.8,25.7
"2021-12-04 14:19:58",23.8,25.9
"2021-12-04 14:25:07",23.8,26.1
"2021-12-04 14:30:06",23.8,26.2
"2021-12-04 14:35:06",23.8,26.3
"2021-12-04 14:40:00",23.8,26.2
"2021-12-04 14:45:05",23.6,26.2
"2021-12-04 14:50:11",23.6,26.2
"2021-12-04 14:55:17",23.8,26.3
"2021-12-04 15:00:06",23.8,26.5
"2021-12-04 15:05:04",23.6,26.6
"2021-12-04 15:10:02",23.8,26.6
"2021-12-04 15:15:07",23.6,26.8
"2021-12-04 15:19:58",23.6,27
"2021-12-04 15:25:04",23.6,27
"2021-12-04 15:29:55",23.6,27.1
"2021-12-04 15:34:51",23.6,27.2
"2021-12-04 15:39:44",23.6,27.3
"2021-12-04 15:44:38",23.6,27.4
"2021-12-04 15:49:38",23.6,27.6
"2021-12-04 15:54:41",23.6,27.7
"2021-12-04 15:59:44",23.6,27.9
"2021-12-04 16:04:53",23.4,28
"2021-12-04 16:09:44",23.4,28.1
"2021-12-04 16:14:45",23.4,28.2
"2021-12-04 16:19:45",23.2,28.9
"2021-12-04 16:24:41",23.2,28.8
"2021-12-04 16:29:30",23.2,29
"2021-12-04 16:34:33",23.2,29
"2021-12-04 16:39:26",23.2,29.2
"2021-12-04 16:44:29",23.2,29.3
"2021-12-04 16:49:27",23.2,29.5
"2021-12-04 17:04:17",23,30.2
"2021-12-04 17:14:36",22.8,30.7
"2021-12-04 17:19:29",22.8,30.8
"2021-12-04 17:24:26",22.8,31
"2021-12-04 17:29:34",22.8,31.3
"2021-12-04 17:34:39",22.8,31.4
"2021-12-04 17:39:43",22.6,31.6
"2021-12-04 17:44:49",22.6,31.8
"2021-12-04 17:49:38",22.6,31.9
"2021-12-04 17:54:37",22.6,32
"2021-12-04 17:59:34",22.6,32.2
"2021-12-04 18:04:41",22.4,32.3
"2021-12-04 18:09:38",22.4,32.6
"2021-12-04 18:14:31",22.4,32.9
"2021-12-04 18:19:30",22.4,33.1
"2021-12-04 18:24:19",22.4,33.3
"2021-12-04 18:29:26",22.4,33.4
"2021-12-04 18:34:18",22.2,33.7
"2021-12-04 18:39:21",22.2,33.8
"2021-12-04 18:44:28",22.2,34.1
"2021-12-04 18:49:34",22.2,34.3
"2021-12-04 18:54:33",22.2,34.5
"2021-12-04 18:59:35",22.2,34.6
"2021-12-04 19:04:26",22.1,34.8
"2021-12-04 19:09:18",22.1,34.9
"2021-12-04 19:14:20",22.1,35.1
"2021-12-04 19:19:18",22,35.3
"2021-12-04 19:24:23",22,35.5
"2021-12-04 19:29:29",22,35.7
"2021-12-04 19:34:20",21.9,35.9
"2021-12-04 19:39:23",21.9,36.1
"2021-12-04 19:44:24",21.9,36.3
"2021-12-04 19:49:31",21.7,36.4
"2021-12-04 19:54:27",21.7,36.6
"2021-12-04 19:59:19",21.7,36.7
"2021-12-04 20:04:19",21.6,36.7
"2021-12-04 20:09:21",21.6,36.7
"2021-12-04 20:14:13",21.6,36.8
"2021-12-04 20:19:09",21.6,36.8
"2021-12-04 20:24:17",21.6,36.9
"2021-12-04 20:29:14",21.6,36.9
"2021-12-04 20:34:13",21.6,36.9
