Exported Sensor Data,,
Date Start:,1/1/2022 0:00,
Date End:,1/1/2023 0:00,
Created:,Data generated by EMS Viewer on 2023-06-07 09:42:56,
,,
East 214,,
Date Time,Temperature (C),Humidity (%RH)
1/1/2022 0:04,20.6,51.9
1/1/2022 0:09,20.6,52
1/1/2022 0:14,20.6,52
1/1/2022 0:19,20.6,51.5
1/1/2022 0:24,20.6,51.9
1/1/2022 0:29,20.6,52
1/1/2022 0:34,20.6,51.9
1/1/2022 0:39,20.6,51.7
1/1/2022 0:44,20.6,50.9
1/1/2022 0:49,20.6,50.9
1/1/2022 0:53,20.6,50.6
1/1/2022 0:58,20.6,50.4
1/1/2022 1:03,20.6,50.6
1/1/2022 1:08,20.6,50.7
1/1/2022 1:14,20.6,50.7
1/1/2022 1:19,20.6,50.8
1/1/2022 1:24,20.6,50.9
1/1/2022 1:29,20.6,50.8
1/1/2022 1:33,20.6,50.9
1/1/2022 1:38,20.6,50.9
1/1/2022 1:43,20.6,50.9
1/1/2022 1:48,20.6,50.8
1/1/2022 1:58,20.6,50.8
1/1/2022 2:03,20.6,50.8
1/1/2022 2:08,20.6,50.8
1/1/2022 2:23,20.4,51.2
1/1/2022 2:32,20.4,51.5
1/1/2022 2:37,20.4,51.5
1/1/2022 2:42,20.4,51.7
1/1/2022 2:47,20.4,51.8
1/1/2022 2:52,20.4,51.7
1/1/2022 2:57,20.4,51.7
1/1/2022 3:02,20.4,51.5
1/1/2022 3:07,20.4,51.4
1/1/2022 3:12,20.4,51.4
1/1/2022 3:17,20.4,51.4
1/1/2022 3:27,20.4,51.2
1/1/2022 3:32,20.4,51.1
1/1/2022 3:37,20.4,50.9
1/1/2022 3:42,20.4,51.1
1/1/2022 3:47,20.4,51.1
1/1/2022 3:52,20.3,51.2
1/1/2022 3:57,20.4,51.2
1/1/2022 4:01,20.3,51.4
1/1/2022 4:07,20.4,51.4
1/1/2022 4:12,20.3,51.5
1/1/2022 4:16,20.3,51.5
1/1/2022 4:22,20.3,51.4
1/1/2022 4:26,20.3,51.4
1/1/2022 4:32,20.3,51.4
1/1/2022 4:37,20.3,51.5
1/1/2022 4:42,20.3,51.5
1/1/2022 4:52,20.3,51.7
1/1/2022 4:57,20.3,51.7
1/1/2022 5:02,20.3,51.5
1/1/2022 5:12,20.3,51.5
1/1/2022 5:17,20.3,51.5
1/1/2022 5:22,20.3,51.5
1/1/2022 5:27,20.3,51.5
1/1/2022 5:32,20.3,51.5
1/1/2022 5:37,20.3,51.5
1/1/2022 5:42,20.3,51.5
1/1/2022 5:52,20.3,51.5
1/1/2022 5:57,20.3,51.4
1/1/2022 6:02,20.3,51.5
1/1/2022 6:07,20.3,51.5
1/1/2022 6:12,20.3,51.5
1/1/2022 6:17,20.3,51.5
1/1/2022 6:22,20.3,51.5
1/1/2022 6:27,20.3,51.5
1/1/2022 6:32,20.3,51.4
1/1/2022 6:37,20.3,51.5
1/1/2022 6:42,20.3,51.5
1/1/2022 6:47,20.3,51.5
1/1/2022 6:52,20.3,51.5
1/1/2022 6:57,20.3,51.5
1/1/2022 7:02,20.3,51.5
1/1/2022 7:07,20.3,51.5
1/1/2022 7:12,20.3,51.5
1/1/2022 7:17,20.3,51.5
1/1/2022 7:22,20.3,51.4
1/1/2022 7:27,20.3,51.2
1/1/2022 7:31,20.3,51.1
1/1/2022 7:36,20.3,50.6
1/1/2022 7:41,20.3,50.2
1/1/2022 7:46,20.3,49.9
1/1/2022 7:51,20.3,49.6
1/1/2022 7:56,20.3,49.7
1/1/2022 8:01,20.3,52.1
1/1/2022 8:06,20.4,51.8
1/1/2022 8:11,20.3,52.1
1/1/2022 8:16,20.3,51.7
1/1/2022 8:21,20.3,51.8
1/1/2022 8:26,20.3,51.7
1/1/2022 8:31,20.3,52.8
1/1/2022 8:36,20.3,51.8
1/1/2022 8:41,20.3,51.5
1/1/2022 8:46,20.3,52
1/1/2022 8:51,20.3,52.7
1/1/2022 8:56,20.3,51.5
1/1/2022 9:01,20.3,51.5
1/1/2022 9:06,20.3,51.2
1/1/2022 9:11,20.3,50.9
1/1/2022 9:16,20.3,50.9
