Exported Sensor Data,,
Date Start:,1/1/2022 0:00,
Date End:,1/1/2023 0:00,
Created:,Data generated by EMS Viewer on 2023-06-07 08:31:13,
,,
Main E2,,
Date Time,Temperature (C),Humidity (%RH)
1/1/2022 0:04,21.3,47.1
1/1/2022 0:08,21.3,46.1
1/1/2022 0:14,21.3,45.8
1/1/2022 0:19,21.3,45.6
1/1/2022 0:23,21.3,45.5
1/1/2022 0:28,21.3,45.9
1/1/2022 0:33,21.3,46.3
1/1/2022 0:38,21.3,46.5
1/1/2022 0:43,21.3,46.8
1/1/2022 0:48,21.3,46.9
1/1/2022 0:53,21.3,47
1/1/2022 0:58,21.3,47.1
1/1/2022 1:03,21.3,47.2
1/1/2022 1:08,21.3,47.3
1/1/2022 1:13,21.3,47.5
1/1/2022 1:18,21.3,47.5
1/1/2022 1:23,21.3,47.6
1/1/2022 1:28,21.3,47.7
1/1/2022 1:33,21.3,47.8
1/1/2022 1:38,21.3,47.9
1/1/2022 1:43,21.3,47.9
1/1/2022 1:48,21.3,48
1/1/2022 1:53,21.3,48
1/1/2022 1:58,21.3,48
1/1/2022 2:03,21.3,48
1/1/2022 2:08,21.3,48
1/1/2022 2:18,21.3,48.2
1/1/2022 2:23,21.3,48.3
1/1/2022 2:28,21.3,48.3
1/1/2022 2:33,21.3,48.3
1/1/2022 2:38,21.3,48.4
1/1/2022 2:43,21.3,48.4
1/1/2022 2:48,21.3,48.5
1/1/2022 2:53,21.3,48.5
1/1/2022 2:58,21.3,48.6
1/1/2022 3:03,21.3,48.6
1/1/2022 3:08,21.3,48.7
1/1/2022 3:13,21.3,48.7
1/1/2022 3:18,21.3,48.8
1/1/2022 3:23,21.3,48.8
1/1/2022 3:28,21.3,48.9
1/1/2022 3:33,21.3,48.9
1/1/2022 3:38,21.3,49
1/1/2022 3:43,21.3,48.9
1/1/2022 3:48,21.3,48.9
1/1/2022 3:53,21.3,49
1/1/2022 4:02,21.3,49
1/1/2022 4:07,21.3,49.1
1/1/2022 4:12,21.3,49.1
1/1/2022 4:17,21.3,49.1
1/1/2022 4:22,21.3,49.1
1/1/2022 4:28,21.3,49.2
1/1/2022 4:32,21.3,49.1
1/1/2022 4:37,21.3,49.1
1/1/2022 4:43,21.3,49.2
1/1/2022 4:48,21.3,49.2
1/1/2022 5:02,21.3,49.2
1/1/2022 5:07,21.1,49.2
1/1/2022 5:12,21.3,49.2
1/1/2022 5:17,21.3,49.2
1/1/2022 5:22,21.3,49.2
1/1/2022 5:27,21.3,49.2
1/1/2022 5:32,21.1,49.3
1/1/2022 5:37,21.3,49.3
1/1/2022 5:42,21.1,49.3
1/1/2022 5:47,21.3,49.3
1/1/2022 5:52,21.1,49.3
1/1/2022 5:57,21.3,49.3
1/1/2022 6:02,21.3,49.3
1/1/2022 6:07,21.1,49.3
1/1/2022 6:12,21.1,49.3
1/1/2022 6:18,21.1,49.3
1/1/2022 6:23,21.1,49.4
1/1/2022 6:27,21.1,49.4
1/1/2022 6:33,21.1,49.4
1/1/2022 6:38,21.3,49.4
1/1/2022 6:43,21.1,49.4
1/1/2022 6:48,21.1,49.5
1/1/2022 6:53,21.1,49.5
1/1/2022 6:58,21.3,49.5
1/1/2022 7:08,21.1,49.6
1/1/2022 7:13,21.3,49.6
1/1/2022 7:18,21.1,49.2
1/1/2022 7:23,21.1,48.7
1/1/2022 7:28,21.1,47.9
1/1/2022 7:33,21.1,47.3
1/1/2022 7:38,21.1,47.5
1/1/2022 7:43,21.1,47.3
1/1/2022 7:48,21.1,47.3
1/1/2022 7:53,21.1,47.3
1/1/2022 7:58,21.1,47
1/1/2022 8:03,21.1,47
1/1/2022 8:12,21.1,46.7
1/1/2022 8:18,21.1,46.7
1/1/2022 8:23,21.1,46.7
1/1/2022 8:27,21.1,46.5
1/1/2022 8:33,21.1,46.4
1/1/2022 8:37,21.1,46.5
1/1/2022 8:42,21.1,46.7
