Exported Sensor Data,,
Date Start:,1/1/2022 0:00,
Date End:,1/1/2023 0:00,
Created:,Data generated by EMS Viewer on 2023-06-07 08:27:15,
,,
Main W2,,
Date Time,Temperature (C),Humidity (%RH)
1/1/2022 0:01,21.3,50.8
1/1/2022 0:06,21.4,50.3
1/1/2022 0:11,21.3,50
1/1/2022 0:21,21.4,49.6
1/1/2022 0:26,21.4,49.5
1/1/2022 0:31,21.4,49.8
1/1/2022 0:36,21.4,49.9
1/1/2022 0:41,21.4,50
1/1/2022 0:46,21.4,49.9
1/1/2022 0:51,21.4,49.5
1/1/2022 0:56,21.4,49.4
1/1/2022 1:01,21.4,49.4
1/1/2022 1:11,21.4,49.4
1/1/2022 1:16,21.4,49.4
1/1/2022 1:21,21.4,49.4
1/1/2022 1:26,21.4,49.4
1/1/2022 1:36,21.4,49.5
1/1/2022 1:46,21.4,49.5
1/1/2022 1:51,21.4,49.5
1/1/2022 1:56,21.4,49.5
1/1/2022 2:06,21.4,49.7
1/1/2022 2:16,21.4,50
1/1/2022 2:21,21.3,50.2
1/1/2022 2:26,21.4,50.2
1/1/2022 2:31,21.3,50.3
1/1/2022 2:36,21.4,50.4
1/1/2022 2:41,21.4,50.5
1/1/2022 2:46,21.3,50.6
1/1/2022 2:51,21.4,50.6
1/1/2022 3:01,21.3,50.7
1/1/2022 3:06,21.3,50.7
1/1/2022 3:16,21.3,50.8
1/1/2022 3:46,21.3,50.4
1/1/2022 4:01,21.3,50.5
1/1/2022 4:11,21.3,50.4
1/1/2022 4:16,21.3,50.5
1/1/2022 4:21,21.3,50.3
1/1/2022 4:26,21.3,50.5
1/1/2022 4:31,21.3,50.4
1/1/2022 4:36,21.3,50.4
1/1/2022 4:40,21.3,50.4
1/1/2022 4:50,21.3,50.2
1/1/2022 4:55,21.3,50.3
1/1/2022 5:10,21.3,50.6
1/1/2022 5:15,21.3,50.8
1/1/2022 5:20,21.3,50.7
1/1/2022 5:56,21.3,50.8
1/1/2022 6:01,21.3,50.8
1/1/2022 6:20,21.3,50.8
1/1/2022 6:30,21.3,50.8
1/1/2022 6:35,21.3,50.7
1/1/2022 6:55,21.3,50.7
1/1/2022 7:00,21.3,50.7
1/1/2022 7:05,21.3,50.8
1/1/2022 7:15,21.3,50.8
1/1/2022 7:20,21.3,50.7
1/1/2022 7:25,21.3,50.6
1/1/2022 7:35,21.3,49.9
1/1/2022 7:46,21.3,49.7
1/1/2022 8:20,21.3,48.8
1/1/2022 8:25,21.3,48.9
1/1/2022 8:30,21.3,49.1
1/1/2022 8:40,21.3,49.2
1/1/2022 8:50,21.3,48.9
1/1/2022 9:15,21.3,49.1
1/1/2022 9:20,21.3,51.2
1/1/2022 9:25,21.3,51.5
1/1/2022 9:30,21.3,51.4
1/1/2022 9:35,21.3,51.1
1/1/2022 9:40,21.3,50.5
1/1/2022 10:10,21.3,49.8
1/1/2022 10:15,21.3,49.8
1/1/2022 10:25,21.3,49.9
1/1/2022 10:35,21.3,50.6
1/1/2022 10:40,21.3,50.5
1/1/2022 10:45,21.3,49.6
1/1/2022 10:55,21.3,49.3
1/1/2022 11:10,21.3,49.5
1/1/2022 11:15,21.3,49.1
1/1/2022 11:20,21.3,49.5
1/1/2022 11:30,21.3,49.5
1/1/2022 11:34,21.3,49.4
1/1/2022 11:40,21.3,49.1
1/1/2022 11:44,21.3,49.2
1/1/2022 11:50,21.3,49.2
1/1/2022 11:54,21.3,49.3
1/1/2022 11:59,21.3,49.4
1/1/2022 12:04,21.3,49.3
1/1/2022 12:19,21.3,50.2
1/1/2022 12:24,21.3,49.4
1/1/2022 12:29,21.3,50.3
1/1/2022 12:39,21.3,50.1
1/1/2022 12:49,21.3,50.1
1/1/2022 12:54,21.3,50.7
1/1/2022 13:04,21.3,50.8
1/1/2022 13:09,21.3,50.6
1/1/2022 13:14,21.3,50.1
1/1/2022 13:19,21.3,50.3
1/1/2022 13:29,21.3,50.2
1/1/2022 13:34,21.3,50.2
1/1/2022 13:39,21.3,50.2
1/1/2022 13:50,21.3,50.4
1/1/2022 14:05,21.4,50.3
1/1/2022 14:10,21.4,50.5
1/1/2022 14:35,21.3,50.6
1/1/2022 15:09,21.3,50.3
1/1/2022 15:14,21.3,50
1/1/2022 15:19,21.3,49.8
1/1/2022 15:29,21.3,49.8
1/1/2022 15:34,21.3,50.4
1/1/2022 15:44,21.3,50.1
1/1/2022 15:49,21.3,50.2
1/1/2022 16:04,21.3,50.4
1/1/2022 16:14,21.4,50.5
1/1/2022 16:19,21.3,50.4
1/1/2022 16:24,21.4,50.4
1/1/2022 16:29,21.4,50.4
1/1/2022 16:39,21.3,50.7
1/1/2022 16:44,21.4,50.9
1/1/2022 17:04,21.3,50.9
1/1/2022 17:13,21.4,50.5
1/1/2022 17:18,21.3,50.3
1/1/2022 17:43,21.3,50.4
1/1/2022 18:03,21.3,49.9
1/1/2022 18:08,21.3,49.4
1/1/2022 18:23,21.3,48.8
1/1/2022 18:28,21.3,48.9
1/1/2022 18:38,21.3,49.3
1/1/2022 18:48,21.3,49.6
1/1/2022 19:03,21.4,50
1/1/2022 19:18,21.4,50.2
1/1/2022 19:33,21.4,50.9
1/1/2022 19:38,21.4,51.1
1/1/2022 19:53,21.3,51.2
1/1/2022 19:58,21.3,51.2
1/1/2022 20:22,21.3,50.3
1/1/2022 20:28,21.3,49.5
1/1/2022 20:33,21.3,50.5
1/1/2022 20:38,21.3,51.5
1/1/2022 20:43,21.3,52.1
1/1/2022 20:53,21.3,52.2
1/1/2022 20:58,21.3,52.1
1/1/2022 21:08,21.3,52
1/1/2022 21:13,21.3,51.9
1/1/2022 21:18,21.3,51.9
1/1/2022 21:32,21.4,52
1/1/2022 21:38,21.4,52
1/1/2022 22:18,21.3,52.6
1/1/2022 22:32,21.3,52.7
1/1/2022 22:42,21.3,52.7
1/1/2022 22:52,21.4,52.6
1/1/2022 23:07,21.4,52.7
1/1/2022 23:12,21.4,52.7
1/1/2022 23:42,21.4,52.7
1/1/2022 23:47,21.4,52.8
1/1/2022 23:57,21.6,52.8
1/2/2022 0:02,21.4,52.9
1/2/2022 0:37,21.3,53.2
1/2/2022 0:42,21.3,53.3
