Exported Sensor Data,,
Date Start:,1/1/2022 0:00,
Date End:,1/1/2023 0:00,
Created:,Data generated by EMS Viewer on 2023-06-07 09:06:39,
,,
South 224,,
Date Time,Temperature (C),Humidity (%RH)
1/1/2022 0:00,20.3,55.5
1/1/2022 0:05,20.2,55.6
1/1/2022 0:09,20.3,55.5
1/1/2022 0:14,20.2,55.7
1/1/2022 0:19,20.3,55.6
1/1/2022 0:24,20.2,55.6
1/1/2022 0:30,20.2,55.6
1/1/2022 0:35,20.2,55.7
1/1/2022 0:39,20.2,55.7
1/1/2022 0:49,20.2,55.8
1/1/2022 0:54,20.2,55.8
1/1/2022 0:59,20.2,55.8
1/1/2022 1:04,20.2,55.8
1/1/2022 1:09,20.2,55.8
1/1/2022 1:14,20.2,56
1/1/2022 1:19,20.2,56
1/1/2022 1:24,20.2,55.9
1/1/2022 1:29,20.2,56
1/1/2022 1:34,20.2,56
1/1/2022 1:39,20.2,56.1
1/1/2022 1:44,20,56.1
1/1/2022 1:54,20,56.2
1/1/2022 1:59,20,56.2
1/1/2022 2:03,20,56.3
1/1/2022 2:09,20,56.3
1/1/2022 2:14,20,56.4
1/1/2022 2:18,20,56.5
1/1/2022 2:24,20,56.5
1/1/2022 2:29,20,56.6
1/1/2022 2:34,20,56.7
1/1/2022 2:44,20,56.9
1/1/2022 2:48,20,56.8
1/1/2022 2:54,20,56.9
1/1/2022 2:59,20,57.1
1/1/2022 3:04,20,57.1
1/1/2022 3:09,20,57.2
1/1/2022 3:14,20,57.2
1/1/2022 3:19,20,57.4
1/1/2022 3:24,20,57.4
1/1/2022 3:34,20.2,57.4
1/1/2022 3:39,20,57.5
1/1/2022 3:44,20,57.5
1/1/2022 3:49,20,57.4
1/1/2022 3:59,20,57.4
1/1/2022 4:04,20,57.5
1/1/2022 4:09,20,57.5
1/1/2022 4:14,20,57.5
1/1/2022 4:19,20,57.6
1/1/2022 4:24,20,57.6
1/1/2022 4:29,20,57.5
1/1/2022 4:34,20,57.6
1/1/2022 4:39,20,57.6
1/1/2022 4:44,20,57.7
1/1/2022 4:49,20,57.8
1/1/2022 4:54,20,57.7
1/1/2022 5:04,20,57.9
1/1/2022 5:09,20,57.8
1/1/2022 5:14,20,57.9
1/1/2022 5:19,20,57.9
1/1/2022 5:29,20,57.9
1/1/2022 5:39,20,57.9
1/1/2022 5:44,20,57.9
1/1/2022 5:49,20,57.8
1/1/2022 5:54,20,57.9
1/1/2022 5:59,20,57.9
1/1/2022 6:04,20,57.9
1/1/2022 6:09,20,57.8
1/1/2022 6:14,20,57.9
1/1/2022 6:19,20,57.8
1/1/2022 6:24,20,58
1/1/2022 6:29,20,57.8
1/1/2022 6:34,20,57.9
1/1/2022 6:44,20,58
1/1/2022 6:49,20,57.9
1/1/2022 6:54,20,58
1/1/2022 6:59,20,58
1/1/2022 7:04,20,57.9
1/1/2022 7:09,20,58
1/1/2022 7:14,20,57.9
1/1/2022 7:19,20,58
1/1/2022 7:24,20,57.8
1/1/2022 7:29,20,57.9
1/1/2022 7:34,20.3,57.6
1/1/2022 7:39,20.2,58
1/1/2022 7:44,20.2,58
1/1/2022 7:49,20.2,57.8
1/1/2022 7:54,20.2,57.6
1/1/2022 7:59,20.2,57.6
1/1/2022 8:04,20.2,57.2
1/1/2022 8:09,20.2,57.3
1/1/2022 8:14,20.2,57.3
1/1/2022 8:19,20.2,57.1
1/1/2022 8:24,20.2,57
1/1/2022 8:29,20.2,56.9
1/1/2022 8:39,20.2,56.9
1/1/2022 8:44,20.2,56.8
1/1/2022 8:49,20.2,56.8
1/1/2022 8:54,20.2,56.8
1/1/2022 8:59,20.2,56.7
1/1/2022 9:04,20.2,56.8
1/1/2022 9:09,20.2,56.7
1/1/2022 9:14,20.2,56.7
1/1/2022 9:19,20.2,56.6
1/1/2022 9:29,20.2,56.6
1/1/2022 9:34,20.2,56.6
1/1/2022 9:39,20.2,56.6
1/1/2022 9:44,20.2,56.5
1/1/2022 9:49,20.2,56.5
1/1/2022 9:54,20.2,56.4
1/1/2022 9:59,20.3,56.4
1/1/2022 10:04,20.2,56.3
1/1/2022 10:09,20.3,56.3
1/1/2022 10:14,20.3,56.3
1/1/2022 10:19,20.3,56.2
1/1/2022 10:24,20.3,56.2
1/1/2022 10:29,20.3,56.1
1/1/2022 10:34,20.3,56.2
1/1/2022 10:39,20.3,56.1
1/1/2022 10:44,20.3,56.1
1/1/2022 10:49,20.3,56.1
1/1/2022 10:54,20.3,56.1
1/1/2022 10:59,20.3,56.1
1/1/2022 11:05,20.3,56.1
1/1/2022 11:09,20.3,56.1
1/1/2022 11:14,20.3,56
1/1/2022 11:20,20.3,56
1/1/2022 11:24,20.3,56.1
1/1/2022 11:29,20.3,56
1/1/2022 11:34,20.3,56
1/1/2022 11:39,20.3,56
1/1/2022 11:44,20.3,56
1/1/2022 11:49,20.3,56
1/1/2022 11:54,20.3,56
1/1/2022 11:59,20.3,56
1/1/2022 12:04,20.3,56
1/1/2022 12:09,20.3,56.1
1/1/2022 12:14,20.3,56.1
1/1/2022 12:19,20.3,56
1/1/2022 12:24,20.3,56.1
1/1/2022 12:29,20.3,56.1
1/1/2022 12:34,20.3,56
1/1/2022 12:44,20.3,56
1/1/2022 12:48,20.3,56.1
1/1/2022 12:53,20.3,56.1
1/1/2022 12:58,20.3,56
1/1/2022 13:04,20.3,56
1/1/2022 13:08,20.3,56
1/1/2022 13:13,20.3,56
1/1/2022 13:18,20.3,56
1/1/2022 13:23,20.3,55.9
1/1/2022 13:28,20.3,55.9
1/1/2022 13:39,20.3,55.9
1/1/2022 13:43,20.3,55.8
1/1/2022 13:48,20.4,55.8
1/1/2022 13:53,20.4,55.7
1/1/2022 13:58,20.4,55.7
1/1/2022 14:03,20.4,55.7
1/1/2022 14:08,20.4,55.7
1/1/2022 14:13,20.4,55.7
1/1/2022 14:18,20.4,55.6
1/1/2022 14:23,20.4,55.5
1/1/2022 14:28,20.4,55.5
1/1/2022 14:33,20.6,55.5
1/1/2022 14:38,20.6,55.5
1/1/2022 14:43,20.6,55.5
1/1/2022 14:48,20.6,55.5
1/1/2022 14:53,20.6,55.4
1/1/2022 14:58,20.6,55.4
1/1/2022 15:03,20.6,55.3
1/1/2022 15:08,20.6,55.4
1/1/2022 15:13,20.6,55.4
1/1/2022 15:18,20.6,55.3
1/1/2022 15:23,20.6,55.3
