
"Exported Sensor Data"
"Date Start:","2022-01-01 00:00:00"
"Date End:","2023-01-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-06-29 14:22:55"

"CSF GF Visible storage",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2022-01-01 00:00:00",17.4,43
"2022-01-01 00:15:00",17.3,43
"2022-01-01 00:30:00",17.3,42.9
"2022-01-01 00:45:00",17.4,43
"2022-01-01 01:00:00",17.4,42.8
"2022-01-01 01:15:00",17.4,42.8
"2022-01-01 01:30:00",17.5,42.9
"2022-01-01 01:45:00",17.5,42.9
"2022-01-01 02:00:00",17.5,43
"2022-01-01 02:15:00",17.4,43
"2022-01-01 02:30:00",17.4,43.2
"2022-01-01 02:45:00",17.4,43.3
"2022-01-01 03:00:00",17.4,43.3
"2022-01-01 03:15:00",17.4,43.4
"2022-01-01 03:30:00",17.4,43.4
"2022-01-01 03:45:00",17.3,43.4
"2022-01-01 04:00:00",17.4,43.5
"2022-01-01 04:15:00",17.3,43.3
"2022-01-01 04:30:00",17.4,43.5
"2022-01-01 04:45:00",17.3,43.3
"2022-01-01 05:00:00",17.4,43.4
"2022-01-01 05:15:00",17.4,43.4
"2022-01-01 05:30:00",17.4,43.4
"2022-01-01 05:45:00",17.4,43.2
"2022-01-01 06:00:00",17.4,43.4
"2022-01-01 06:15:00",17.4,43.2
"2022-01-01 06:30:00",17.4,43.4
"2022-01-01 06:45:00",17.4,43.4
"2022-01-01 07:00:00",17.4,43.4
"2022-01-01 07:15:00",17.4,43.5
"2022-01-01 07:30:00",17.3,43.6
"2022-01-01 07:45:00",17.3,43.6
"2022-01-01 08:00:00",17.3,43.5
"2022-01-01 08:15:00",17.2,43.6
"2022-01-01 08:30:00",17.2,43.5
"2022-01-01 08:45:00",17.3,43.2
"2022-01-01 09:00:00",17.3,43.4
"2022-01-01 09:15:00",17.3,43.2
"2022-01-01 09:30:00",17.4,43.3
"2022-01-01 09:45:00",17.4,43.1
"2022-01-01 10:00:00",17.4,43
"2022-01-01 10:15:00",17.5,42.6
"2022-01-01 10:30:00",17.6,42.5
"2022-01-01 10:45:00",17.5,42.5
"2022-01-01 11:00:00",17.5,42.5
"2022-01-01 11:06:00",17.5,42.6
"2022-01-01 11:15:00",17.5,42.5
"2022-01-01 11:30:00",17.5,42.6
"2022-01-01 11:45:00",17.5,42.5
"2022-01-01 12:00:00",17.5,42.4
"2022-01-01 12:01:12",17.5,42.3
"2022-01-01 12:15:00",17.4,42.5
