
"Exported Sensor Data"
"Date Start:","2022-01-01 00:00:00"
"Date End:","2023-01-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-06-29 14:21:39"

"CSF GF L storage",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2022-01-01 00:00:00",19.4,62.5
"2022-01-01 00:04:21",19.3,62.2
"2022-01-01 00:09:12",19.3,62.5
"2022-01-01 00:14:20",19.3,62.2
"2022-01-01 00:15:00",19.3,62.5
"2022-01-01 00:19:09",19.3,62.5
"2022-01-01 00:24:00",19.3,62.5
"2022-01-01 00:29:03",19.3,62.6
"2022-01-01 00:30:00",19.3,62.5
"2022-01-01 00:34:08",19.3,62.7
"2022-01-01 00:39:16",19.3,62.9
"2022-01-01 00:44:21",19.3,62.9
"2022-01-01 00:45:00",19.3,62.8
"2022-01-01 00:49:23",19.3,62.9
"2022-01-01 00:54:22",19.3,62.9
"2022-01-01 00:59:13",19.3,62.9
"2022-01-01 01:00:00",19.3,63
"2022-01-01 01:04:05",19.3,63.2
"2022-01-01 01:09:12",19.3,63.5
"2022-01-01 01:14:16",19.2,63.3
"2022-01-01 01:15:00",19.2,63.4
"2022-01-01 01:19:22",19.2,63.4
"2022-01-01 01:24:27",19.2,63.4
"2022-01-01 01:30:00",19.2,63.4
"2022-01-01 01:34:27",19.2,63.3
"2022-01-01 01:39:26",19.2,63.3
"2022-01-01 01:44:28",19.2,63.3
"2022-01-01 01:45:00",19.2,63.4
"2022-01-01 01:54:18",19.2,63.1
"2022-01-01 01:59:14",19.2,63.1
"2022-01-01 02:00:00",19.2,63.2
"2022-01-01 02:04:11",19.2,63
"2022-01-01 02:09:20",19.2,63.1
"2022-01-01 02:14:12",19.2,63
"2022-01-01 02:15:00",19.2,62.9
"2022-01-01 02:19:17",19.2,63
"2022-01-01 02:24:06",19.2,62.9
"2022-01-01 02:29:08",19.1,62.9
"2022-01-01 02:30:00",19.1,63.1
"2022-01-01 02:34:18",19.1,62.7
"2022-01-01 02:44:13",19.1,63.1
"2022-01-01 02:45:00",19.1,63.2
"2022-01-01 02:49:20",19.1,63
"2022-01-01 02:54:25",19.1,63.1
"2022-01-01 02:59:32",19.1,63.2
"2022-01-01 03:00:00",19.1,63.1
"2022-01-01 03:04:21",19.1,63
"2022-01-01 03:09:19",19.1,63.3
"2022-01-01 03:14:17",19.1,63.3
"2022-01-01 03:15:00",19.1,63.4
"2022-01-01 03:19:17",19.1,63.5
"2022-01-01 03:24:27",19.1,63.5
"2022-01-01 03:29:37",19.1,63.6
"2022-01-01 03:30:00",19.1,63.6
"2022-01-01 03:34:45",19.1,63.5
"2022-01-01 03:44:34",19,63.6
"2022-01-01 03:45:00",19,63.6
"2022-01-01 03:49:39",19,63.7
"2022-01-01 03:54:44",19,63.7
"2022-01-01 03:59:35",19,63.5
"2022-01-01 04:00:00",19,63.9
"2022-01-01 04:04:30",19,63.7
