
"Exported Sensor Data"
"Date Start:","2022-01-01 00:00:00"
"Date End:","2023-01-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-06-07 10:36:36"

"L11 Mid Lounge",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2022-01-01 00:00:00",19.5,64.9
"2022-01-01 00:10:57",19.5,64.9
"2022-01-01 00:15:00",19.5,64.9
"2022-01-01 00:20:41",19.5,65.2
"2022-01-01 00:25:35",19.5,65.3
"2022-01-01 00:30:00",19.5,65.3
"2022-01-01 00:40:20",19.4,65.5
"2022-01-01 00:45:00",19.4,65.5
"2022-01-01 00:50:14",19.4,65.6
"2022-01-01 01:00:00",19.4,65.7
"2022-01-01 01:10:02",19.4,66.1
"2022-01-01 01:15:00",19.5,66
"2022-01-01 01:15:09",19.5,66
"2022-01-01 01:24:57",19.4,65.8
"2022-01-01 01:30:00",19.4,65.8
"2022-01-01 01:44:44",19.4,65.4
"2022-01-01 01:45:00",19.4,65.6
"2022-01-01 01:54:50",19.4,65.2
"2022-01-01 01:59:44",19.4,65.1
"2022-01-01 02:00:00",19.4,65.1
"2022-01-01 02:09:31",19.4,65
"2022-01-01 02:15:00",19.4,65
"2022-01-01 02:24:11",19.4,65
"2022-01-01 02:30:00",19.3,65
"2022-01-01 02:34:05",19.4,65.1
"2022-01-01 02:45:00",19.4,65.2
"2022-01-01 02:58:53",19.4,65.2
"2022-01-01 03:00:00",19.4,65.2
"2022-01-01 03:15:00",19.4,65.4
"2022-01-01 03:30:00",19.4,65.6
"2022-01-01 03:44:05",19.4,65.5
"2022-01-01 03:45:00",19.4,65.5
"2022-01-01 03:49:14",19.4,65.4
"2022-01-01 04:00:00",19.4,65.4
"2022-01-01 04:04:18",19.3,65.2
"2022-01-01 04:09:08",19.3,65
"2022-01-01 04:15:00",19.3,65
"2022-01-01 04:24:02",19.3,64.9
"2022-01-01 04:29:12",19.3,64.9
"2022-01-01 04:30:00",19.3,64.9
"2022-01-01 04:45:00",19.3,64.9
"2022-01-01 04:53:45",19.3,64.9
"2022-01-01 05:00:00",19.3,64.8
"2022-01-01 05:03:37",19.3,64.8
"2022-01-01 05:15:00",19.3,64.9
"2022-01-01 05:23:37",19.3,65.1
"2022-01-01 05:28:26",19.3,65.2
"2022-01-01 05:30:00",19.3,65.1
"2022-01-01 05:45:00",19.2,64.6
"2022-01-01 05:48:26",19.3,64.5
"2022-01-01 06:00:00",19.2,64.6
"2022-01-01 06:03:31",19.2,64.7
"2022-01-01 06:08:28",19.2,64.6
"2022-01-01 06:15:00",19.2,64.6
"2022-01-01 06:18:33",19.2,64.6
"2022-01-01 06:28:36",19.2,64.5
"2022-01-01 06:30:00",19.2,64.5
"2022-01-01 06:45:00",19.2,64.7
"2022-01-01 06:53:12",19.2,65
"2022-01-01 06:58:22",19.2,65.2
"2022-01-01 07:00:00",19.2,65.1
"2022-01-01 07:08:03",19.2,65.4
"2022-01-01 07:13:03",19.2,65.5
"2022-01-01 07:15:00",19.1,65.5
"2022-01-01 07:18:02",19.2,65.6
"2022-01-01 07:23:09",19.2,65.6
"2022-01-01 07:30:00",19.1,65.6
