
"Exported Sensor Data"
"Date Start:","2023-01-01 00:00:00"
"Date End:","2023-07-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-07-13 09:47:31"

"B2 X-ray",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2023-01-01 00:13:00",21.1,44
"2023-01-01 00:28:00",21,44.2
"2023-01-01 00:43:00",21.1,44.2
"2023-01-01 00:58:00",21,44.2
"2023-01-01 01:13:00",21,44.2
"2023-01-01 01:28:00",21,44.1
"2023-01-01 01:43:00",21,44
"2023-01-01 01:58:00",21.1,43.8
"2023-01-01 02:13:00",21.1,43.9
"2023-01-01 02:28:00",21.1,43.6
"2023-01-01 02:43:00",21.1,43.7
"2023-01-01 02:58:00",21.1,43.6
"2023-01-01 03:13:00",21.1,43.6
"2023-01-01 03:28:00",21.1,43.6
"2023-01-01 03:43:00",21.1,43.7
"2023-01-01 03:58:00",21.1,43.7
"2023-01-01 04:13:00",21.1,43.8
"2023-01-01 04:28:00",21.1,43.7
"2023-01-01 04:43:00",21.1,43.5
"2023-01-01 04:58:00",21.1,43.5
"2023-01-01 05:13:00",21.1,43.3
"2023-01-01 05:28:00",21.1,43.4
"2023-01-01 05:43:00",21.1,43.2
"2023-01-01 05:58:00",21.1,43.3
"2023-01-01 06:13:00",21.1,43.3
"2023-01-01 06:28:00",21.1,43.3
"2023-01-01 06:43:00",21.1,43.2
"2023-01-01 06:58:00",21.1,43.1
"2023-01-01 07:13:00",21.1,43
"2023-01-01 07:28:00",21.1,43
"2023-01-01 07:43:00",21.3,42.9
"2023-01-01 07:58:00",21.1,43.1
"2023-01-01 08:13:00",21.3,42.8
"2023-01-01 08:28:00",21.3,43.1
"2023-01-01 08:43:00",21.1,43
"2023-01-01 08:58:00",21.1,43
"2023-01-01 09:13:00",21.3,43
"2023-01-01 09:28:00",21.1,43
"2023-01-01 09:43:00",21.3,42.9
"2023-01-01 09:58:00",21.3,42.8
"2023-01-01 10:13:00",21.3,42.9
"2023-01-01 10:28:00",21.3,43
"2023-01-01 10:43:00",21.3,43.2
"2023-01-01 10:58:00",21.3,43.2
"2023-01-01 11:13:00",21.1,43.5
"2023-01-01 11:28:00",21.3,43.5
"2023-01-01 11:43:00",21.3,43.8
"2023-01-01 11:58:00",21.3,44
"2023-01-01 12:13:00",21.3,44
"2023-01-01 12:28:00",21.3,44.2
"2023-01-01 12:43:00",21.3,44.2
"2023-01-01 12:58:00",21.3,44.4
"2023-01-01 13:13:00",21.3,44.7
"2023-01-01 13:28:00",21.3,45
"2023-01-01 13:43:00",21.3,45.3
"2023-01-01 13:58:00",21.3,45.6
"2023-01-01 14:13:00",21.3,45.9
"2023-01-01 14:28:00",21.3,45.7
"2023-01-01 14:43:00",21.3,46
"2023-01-01 14:58:00",21.3,46.2
"2023-01-01 15:13:00",21.3,46
"2023-01-01 15:28:00",21.3,46.3
"2023-01-01 15:43:00",21.3,46.3
"2023-01-01 15:58:00",21.3,46.6
"2023-01-01 16:13:00",21.3,46.6
"2023-01-01 16:28:00",21.3,46.2
"2023-01-01 16:43:00",21.3,46
"2023-01-01 16:58:00",21.3,46
"2023-01-01 17:13:00",21.3,45.9
"2023-01-01 17:28:00",21.3,45.8
"2023-01-01 17:43:00",21.3,45.5
"2023-01-01 17:58:00",21.3,45.6
"2023-01-01 18:13:00",21.3,45.7
"2023-01-01 18:28:00",21.3,45.6
"2023-01-01 18:43:00",21.3,45.2
"2023-01-01 18:58:00",21.3,45.1
"2023-01-01 19:13:00",21.3,45.2
"2023-01-01 19:28:00",21.3,45.3
"2023-01-01 19:43:00",21.3,45.4
"2023-01-01 19:58:00",21.3,45.8
"2023-01-01 20:13:00",21.3,45.8
"2023-01-01 20:28:00",21.3,46
"2023-01-01 20:43:00",21.3,45.9
"2023-01-01 20:58:00",21.3,46
