Exported Sensor Data,,,,
Date Start:,6/5/2023 0:00,,,
Date End:,7/5/2023 0:00,,,
Created:,Data generated by EMS Viewer on 2023-07-05 11:59:37,,,
,,,,
North 208.2,,,,
Date Time,Temperature (C),Humidity (%RH),,
6/23/2023 13:03,23.2,45.1,,
6/23/2023 13:05,23.2,45.1,,
6/23/2023 13:06,23.4,45.1,,
6/23/2023 13:08,23.4,44.9,,
6/23/2023 13:10,23.4,45.2,,
6/23/2023 13:13,23.4,45.2,,
6/23/2023 13:13,23.4,45.2,,
6/23/2023 13:18,23.4,45,,
6/23/2023 13:19,23.4,45,,
6/23/2023 13:20,23.4,45,,
6/23/2023 13:23,23.2,45.1,,
6/23/2023 13:24,23.2,45.2,,
6/23/2023 13:32,23.4,45.2,,
6/23/2023 13:33,23.2,45.2,,
6/23/2023 13:35,23.2,45.3,,
6/23/2023 13:35,23.2,45.3,,
6/23/2023 13:36,23.4,45.3,,
6/23/2023 13:37,23.4,45.3,,
6/23/2023 13:38,23.2,45.3,,
6/23/2023 13:40,23.4,45.1,,
6/23/2023 13:41,23.4,45.1,,
6/23/2023 13:44,23.4,45.1,,
6/23/2023 13:46,23.4,45.1,,
6/23/2023 13:49,23.4,45.2,,
6/23/2023 13:51,23.4,45.4,,
6/23/2023 13:53,23.4,45.1,,
6/23/2023 13:54,23.4,44.9,,
6/23/2023 13:56,23.4,44.9,,
6/23/2023 13:58,23.4,44.8,,
6/23/2023 14:01,23.4,44.8,,
6/23/2023 14:02,23.4,45,,
6/23/2023 14:05,23.4,45,,
6/23/2023 14:06,23.4,45,,
6/23/2023 14:06,23.4,45,,
6/23/2023 14:07,23.4,45,,
6/23/2023 14:08,23.4,45,,
6/23/2023 14:08,23.4,45,,
6/23/2023 14:20,23.4,45,,
6/23/2023 14:27,23.4,45.1,,
6/23/2023 14:29,23.4,44.8,,
6/23/2023 14:30,23.4,44.9,,
6/23/2023 14:44,23.4,44.6,,
6/23/2023 14:47,23.4,44.5,,
6/23/2023 14:50,23.4,44.8,,
6/23/2023 14:51,23.4,44.7,,
6/23/2023 14:58,23.4,44.5,,
6/23/2023 15:07,23.4,44.5,,
6/23/2023 15:08,23.4,45,,
6/23/2023 15:19,23.4,45,,
6/23/2023 15:24,23.4,44.9,,
6/23/2023 15:25,23.4,45.1,,
6/23/2023 15:38,23.6,45.2,,
6/23/2023 15:40,23.6,45.2,,
6/23/2023 15:41,23.6,45.1,,
6/23/2023 15:48,23.6,44.7,,
6/23/2023 15:56,23.6,44.7,,
