Exported Sensor Data,,,,
Date Start:,1/1/2023 0:00,,,
Date End:,7/1/2023 0:00,,,
Created:,Data generated by EMS Viewer on 2023-07-13 09:40:34,,,
,,,,
Outdoor 1,,,,
Date Time,Temperature (C),Humidity (%RH),,
1/1/2023 0:02,16.2,59.8,,
1/1/2023 0:07,16.1,60,,
1/1/2023 0:16,16.1,60.4,,
1/1/2023 0:21,16.1,60.3,,
1/1/2023 0:26,16.1,60,,
1/1/2023 0:31,16.1,59.9,,
1/1/2023 0:36,16.1,59.8,,
1/1/2023 0:42,16.1,59.7,,
1/1/2023 0:47,16.1,59.8,,
1/1/2023 0:52,16,59.6,,
1/1/2023 0:57,16,59.1,,
1/1/2023 1:02,16,59.4,,
1/1/2023 1:07,16,58.8,,
1/1/2023 1:12,16,58.9,,
1/1/2023 1:17,16,58.9,,
1/1/2023 1:22,15.8,59,,
1/1/2023 1:27,15.8,59.1,,
1/1/2023 1:32,15.8,59.2,,
1/1/2023 1:37,15.7,59.3,,
1/1/2023 1:42,15.7,59.3,,
1/1/2023 1:47,15.7,59.8,,
1/1/2023 1:52,15.6,60.1,,
1/1/2023 1:57,15.6,60,,
1/1/2023 2:02,15.5,60.3,,
1/1/2023 2:07,15.5,60.5,,
1/1/2023 2:12,15.3,60.4,,
1/1/2023 2:17,15.3,60.7,,
1/1/2023 2:22,15.3,60.7,,
1/1/2023 2:27,15.3,60.8,,
1/1/2023 2:32,15.2,61,,
1/1/2023 2:37,15.3,60.9,,
1/1/2023 2:42,15.3,60.8,,
1/1/2023 2:47,15.3,61.1,,
1/1/2023 2:52,15.3,61.4,,
1/1/2023 2:57,15.2,61.5,,
1/1/2023 3:02,15.2,61.5,,
1/1/2023 3:07,15.2,61.3,,
1/1/2023 3:12,15.2,61.3,,
1/1/2023 3:17,15.2,61.2,,
1/1/2023 3:22,15.2,61.7,,
1/1/2023 3:27,15.2,61.6,,
1/1/2023 3:32,15.2,61.5,,
1/1/2023 3:37,15.2,61.6,,
1/1/2023 3:42,15.2,61.8,,
1/1/2023 3:47,15.2,61.9,,
1/1/2023 3:52,15.1,62.1,,
1/1/2023 3:57,15,62.4,,
1/1/2023 4:02,15.1,62.3,,
1/1/2023 4:07,15.1,62,,
1/1/2023 4:12,15,62,,
1/1/2023 4:17,15.1,62,,
1/1/2023 4:22,15,61.7,,
1/1/2023 4:27,15,61.8,,
1/1/2023 4:33,15,61.9,,
1/1/2023 4:38,15,61.8,,
1/1/2023 4:43,15,62,,
1/1/2023 4:48,15,61.8,,
1/1/2023 4:53,15,61.8,,
1/1/2023 5:03,14.8,62.1,,
1/1/2023 5:08,14.8,61.8,,
1/1/2023 5:13,14.8,61.8,,
1/1/2023 5:18,14.8,62,,
1/1/2023 5:23,14.8,62.1,,
1/1/2023 5:28,14.8,62.5,,
1/1/2023 5:33,14.8,62.5,,
1/1/2023 5:38,14.8,62.6,,
1/1/2023 5:43,14.8,62.3,,
1/1/2023 5:48,14.8,62.3,,
1/1/2023 5:53,14.8,62.4,,
1/1/2023 5:58,14.7,62.6,,
1/1/2023 6:03,14.7,62.5,,
1/1/2023 6:08,14.8,62.2,,
1/1/2023 6:13,14.7,62.4,,
1/1/2023 6:18,14.8,62.5,,
1/1/2023 6:23,14.8,62.3,,
1/1/2023 6:28,14.8,62.4,,
1/1/2023 6:33,14.8,62.3,,
1/1/2023 6:38,14.8,62.3,,
1/1/2023 6:43,14.8,62,,
1/1/2023 6:48,14.8,61.9,,
1/1/2023 6:53,14.8,61.9,,
1/1/2023 6:58,14.8,61.9,,
1/1/2023 7:03,14.8,62.2,,
1/1/2023 7:08,14.7,62,,
1/1/2023 7:13,14.7,62.1,,
1/1/2023 7:18,14.8,62,,
1/1/2023 7:23,14.8,62.1,,
1/1/2023 7:28,14.8,61.9,,
1/1/2023 7:33,14.8,61.9,,
1/1/2023 7:43,14.8,61.9,,
1/1/2023 7:48,14.8,62.1,,
1/1/2023 7:53,14.8,62.5,,
1/1/2023 7:58,14.8,62,,
1/1/2023 8:03,14.8,62.2,,
1/1/2023 8:08,14.8,62.1,,
1/1/2023 8:13,15,61.3,,
1/1/2023 8:18,15.1,61.3,,
1/1/2023 8:28,15.1,61.3,,
1/1/2023 8:33,15.2,61.1,,
1/1/2023 8:38,15.2,60.7,,
1/1/2023 8:43,15.2,60.6,,
1/1/2023 8:48,15.3,60.3,,
1/1/2023 8:53,15.5,59.7,,
1/1/2023 8:58,15.5,59.6,,
1/1/2023 9:03,15.6,59.1,,
1/1/2023 9:08,15.7,58.9,,
1/1/2023 9:13,15.7,58.4,,
1/1/2023 9:18,15.7,58.1,,
1/1/2023 9:23,15.8,58,,
1/1/2023 9:28,15.8,58,,
1/1/2023 9:33,16,57.6,,
1/1/2023 9:38,16.2,57.7,,
1/1/2023 9:43,16.2,57.7,,
1/1/2023 9:48,16.2,57.4,,
1/1/2023 9:53,16.2,57.1,,
