
"Exported Sensor Data"
"Date Start:","2022-01-01 00:00:00"
"Date End:","2023-01-01 00:00:00"
Created:,"Data generated by EMS Viewer on 2023-06-29 14:29:51"

"CSF 2F L storage",,
"Date Time","Temperature (C)","Humidity (%RH)"
"2022-01-01 00:00:00",20,59.2
"2022-01-01 00:15:00",20,59.2
"2022-01-01 00:30:00",20,59.9
"2022-01-01 00:45:00",20,59.6
"2022-01-01 01:00:00",20,59.7
"2022-01-01 01:15:00",20,59.7
"2022-01-01 01:30:00",20,59.8
"2022-01-01 01:45:00",20,59.9
"2022-01-01 02:00:00",20,60
"2022-01-01 02:15:00",20,60
"2022-01-01 02:30:00",20,60.1
"2022-01-01 02:45:00",20,60.2
"2022-01-01 03:00:00",20,60.2
"2022-01-01 03:15:00",20,60.3
"2022-01-01 03:30:00",20,60.3
"2022-01-01 03:45:00",20,60.3
"2022-01-01 04:00:00",20,60.4
"2022-01-01 04:15:00",20,60.4
"2022-01-01 04:30:00",20,60.4
"2022-01-01 04:45:00",20,60.4
"2022-01-01 05:00:00",20,60.5
"2022-01-01 05:15:00",20,60.5
"2022-01-01 05:30:00",20,60.5
"2022-01-01 05:45:00",20,60.5
"2022-01-01 06:00:00",20,60.5
"2022-01-01 06:15:00",20,60.5
"2022-01-01 06:30:00",20,60.5
"2022-01-01 06:45:00",20,60.6
"2022-01-01 07:00:00",20,60.6
"2022-01-01 07:15:00",20,60.5
"2022-01-01 07:30:00",20,60.3
"2022-01-01 07:45:00",20,59.9
"2022-01-01 08:00:00",20,59.8
"2022-01-01 08:15:00",20,59.5
"2022-01-01 08:30:00",20,59.3
"2022-01-01 08:45:00",20,59.2
"2022-01-01 08:45:39",20,59.5
"2022-01-01 09:00:00",20,59.4
"2022-01-01 09:10:41",20,59.6
"2022-01-01 09:15:00",20,59.4
"2022-01-01 09:30:00",20,59.3
"2022-01-01 09:45:00",20,59.5
"2022-01-01 10:00:00",20,59.4
"2022-01-01 10:00:30",20,59.5
"2022-01-01 10:15:00",20,59.4
"2022-01-01 10:30:00",20,59.4
"2022-01-01 10:45:00",20,59.6
"2022-01-01 11:00:00",19.9,59.7
"2022-01-01 11:15:00",19.9,60.1
"2022-01-01 11:30:00",19.9,59.8
"2022-01-01 11:45:00",19.9,59.2
"2022-01-01 12:00:00",19.9,59.3
"2022-01-01 12:04:37",19.9,59.3
"2022-01-01 12:15:00",20,59.7
"2022-01-01 12:30:00",20,59.3
"2022-01-01 12:45:00",20,59.8
"2022-01-01 13:00:00",20,59.2
"2022-01-01 13:15:00",20,59.6
"2022-01-01 13:30:00",19.9,59.3
"2022-01-01 13:45:00",20,59.5
"2022-01-01 14:00:00",20,59.3
"2022-01-01 14:15:00",20,59.3
"2022-01-01 14:19:21",20,59.4
"2022-01-01 14:30:00",20,59.6
"2022-01-01 14:38:57",20,59.3
"2022-01-01 14:45:00",20,59
"2022-01-01 14:49:09",20,59
"2022-01-01 15:00:00",20,59.6
"2022-01-01 15:09:37",20,59.6
"2022-01-01 15:15:00",19.9,59.2
"2022-01-01 15:30:00",20,59.6
"2022-01-01 15:45:00",20,59.5
"2022-01-01 16:00:00",20,59.4
"2022-01-01 16:15:00",20,59.4
"2022-01-01 16:30:00",19.9,59.2
"2022-01-01 16:45:00",20,59.6
"2022-01-01 17:00:00",20,59.4
"2022-01-01 17:15:00",20,59.4
"2022-01-01 17:30:00",20,59.5
"2022-01-01 17:45:00",20,59.3
"2022-01-01 18:00:00",19.9,59.2
"2022-01-01 18:15:00",19.9,59.6
"2022-01-01 18:30:00",20,59.2
"2022-01-01 18:45:00",20,59.2
"2022-01-01 19:00:00",20,59.4
"2022-01-01 19:15:00",20,59
"2022-01-01 19:19:16",20,59
"2022-01-01 19:30:00",20,59.8
"2022-01-01 19:45:00",20,58.9
"2022-01-01 20:00:00",20,59.6
"2022-01-01 20:15:00",19.9,59
"2022-01-01 20:30:00",19.9,59
"2022-01-01 20:45:00",20,59.2
"2022-01-01 21:00:00",19.9,60.4
"2022-01-01 21:15:00",19.9,60.7
"2022-01-01 21:30:00",19.9,60
"2022-01-01 21:38:13",20,60.1
"2022-01-01 21:45:00",19.9,60.1
"2022-01-01 22:00:00",20,59.5
"2022-01-01 22:15:00",19.9,59.5
"2022-01-01 22:30:00",19.9,59.1
"2022-01-01 22:45:00",20,58.9
"2022-01-01 23:00:00",20,59.5
"2022-01-01 23:15:00",19.9,58.9
"2022-01-01 23:30:00",19.9,58.9
