date,value
2013-04-28,49.4
2013-04-29,49.3
2013-04-30,49.5
2013-05-01,50.2
2013-05-02,50.9
2013-05-03,50.7
2013-05-04,51.2
2013-05-05,51.1
2013-05-06,51.2
2013-05-07,51.2
2013-05-08,51.4
2013-05-09,51.1
2013-05-10,50.7
2013-05-11,50.6
2013-05-12,50.8
2013-05-13,50
2013-05-14,50.3
2013-05-15,50.2
2013-05-16,49.8
2013-05-17,48.4
2013-05-18,48.9
2013-05-19,48.8
2013-05-20,49.8
2013-05-21,50.2
2013-05-22,50.4
2013-05-23,50
2013-05-24,49.9
2013-05-25,49.9
2013-05-26,49.9
2013-05-27,49.7
2013-05-28,49.5
2013-05-29,49.3
2013-05-30,49.3
2013-05-31,49.1
2013-06-01,49
2013-06-02,49.5
2013-06-03,49.8
2013-06-04,49.9
2013-06-05,49.8
2013-06-06,50
2013-06-07,51.8
2013-06-08,51.9
2013-06-09,52
2013-06-10,52.2
2013-06-11,52.3
2013-06-12,52.3
2013-06-13,52.5
2013-06-14,52.4
2013-06-15,52.5
2013-06-16,52.5
2013-06-17,52.5
2013-06-18,52.5
2013-06-19,52.4
2013-06-20,52.4
2013-06-21,52.4
2013-06-22,52.3
2013-06-23,52.3
2013-06-24,52.2
2013-06-25,52.3
2013-06-26,52.2
2013-06-27,52.2
2013-06-28,52.1
2013-06-29,52.1
2013-06-30,52.2
2013-07-01,52.1
2013-07-02,52.2
2013-07-03,52.3
2013-07-04,52.1
2013-07-05,52.2
2013-07-06,52.1
2013-07-07,52.1
2013-07-08,52.1
2013-07-09,52.1
2013-07-10,51.9
2013-07-11,52.1
2013-07-12,52.2
2013-07-13,52.1
2013-07-14,52.1
2013-07-15,52.1
2013-07-16,52
2013-07-17,51.5
2013-07-18,53.3
2013-07-19,53.2
2013-07-20,52.6
2013-07-21,52.2
2013-07-22,52
2013-07-23,52.1
2013-07-24,52.2
2013-07-25,52
2013-07-26,52.1
2013-07-27,52.5
2013-07-28,52.6
2013-07-29,52.7
2013-07-30,52.3
2013-07-31,52.2
2013-08-01,52.2
2013-08-02,52.3
2013-08-03,52
2013-08-04,51.7
2013-08-05,50.8
2013-08-06,51.7
2013-08-07,52
2013-08-08,51.5
2013-08-09,51.1
2013-08-10,49.9
2013-08-11,51.1
2013-08-12,51.4
2013-08-13,51.7
2013-08-14,50.9
2013-08-15,50.3
2013-08-16,51.5
2013-08-17,52.3
2013-08-18,52.6
2013-08-19,52.4
2013-08-20,52.2
2013-08-21,51.8
2013-08-22,52.1
2013-08-23,51.8
2013-08-24,51.7
2013-08-25,51.5
2013-08-26,52
2013-08-27,52.3
2013-08-28,52.4
2013-08-29,52.7
2013-08-30,53.1
2013-08-31,53.2
2013-09-01,53.2
2013-09-02,53.2
2013-09-03,52.8
2013-09-04,53.1
2013-09-05,52.9
2013-09-06,53.1
2013-09-07,53.7
2013-09-08,53.8
2013-09-09,53.5
2013-09-10,53.3
2013-09-11,53.5
2013-09-12,54
2013-09-13,53.9
2013-09-14,53.2
2013-09-15,53.7
2013-09-16,53.9
2013-09-17,53.7
2013-09-18,54
2013-09-19,53.8
2013-09-20,54
2013-09-21,54.1
2013-09-22,54.6
2013-09-23,54.7
2013-09-24,54.1
2013-09-25,55
2013-09-26,54.7
2013-09-27,54.7
2013-09-28,54.7
2013-09-29,55.2
2013-09-30,55.4
2013-10-01,55.3
2013-10-02,55
2013-10-03,55.2
2013-10-04,54.9
2013-10-05,55.4
2013-10-06,55
2013-10-07,54.9
2013-10-08,55
2013-10-09,54.6
2013-10-10,55
2013-10-11,54.6
2013-10-12,54.7
2013-10-13,54.3
2013-10-14,53.7
2013-10-15,52.9
2013-10-16,52.7
2013-10-17,53.8
2013-10-18,53.8
2013-10-19,54.1
2013-10-20,53.8
2013-10-21,53.3
2013-10-22,53.8
2013-10-23,53.7
2013-10-24,53.6
2013-10-25,53.8
2013-10-26,53.9
2013-10-27,53.8
2013-10-28,53.7
2013-10-29,53.8
2013-10-30,53.1
2013-10-31,53.6
2013-11-01,53.7
2013-11-02,53.7
2013-11-03,53.4
2013-11-04,53.6
2013-11-05,53.2
2013-11-06,53.3
2013-11-07,53.8
2013-11-08,53.6
2013-11-09,53.3
2013-11-10,53.1
2013-11-11,52.9
2013-11-12,51.2
2013-11-13,49.6
2013-11-14,50.2
2013-11-15,49.6
2013-11-16,49.5
2013-11-17,49
2013-11-18,48.6
2013-11-19,48.3
2013-11-20,48.2
2013-11-21,48
2013-11-22,48
2013-11-23,48.5
2013-11-24,49
2013-11-25,49.6
2013-11-26,50.8
2013-11-27,50.6
2013-11-28,51.1
2013-11-29,51.5
2013-11-30,51.5
2013-12-01,51.8
2013-12-02,51.5
2013-12-03,51.4
2013-12-04,50.3
2013-12-05,50.5
2013-12-06,52
2013-12-07,52.3
2013-12-08,52.1
2013-12-09,51.2
2013-12-10,50.7
2013-12-11,50.1
2013-12-12,49.6
2013-12-13,48.9
2013-12-14,48.4
2013-12-15,48.2
2013-12-16,48
2013-12-17,47.7
2013-12-18,47.5
2013-12-19,47.5
2013-12-20,47.5
2013-12-21,47.5
2013-12-22,47.6
2013-12-23,49
2013-12-24,49.7
2013-12-25,49.5
2013-12-26,49.7
2013-12-27,50
2013-12-28,50.3
2013-12-29,50.2
2013-12-30,50.5
2013-12-31,50.6
2014-01-01,50.6
2014-01-02,50.6
2014-01-03,50.6
2014-01-04,50.6
2014-01-05,50.6
2014-01-06,51.5
2014-01-07,51.5
2014-01-08,52
2014-01-09,51.9
2014-01-10,51.7
2014-01-11,51.1
2014-01-12,50.9
2014-01-13,50.2
2014-01-14,50.2
2014-01-15,50.5
2014-01-16,50.5
2014-01-17,50.1
2014-01-18,50.4
2014-01-19,50.8
2014-01-20,50.9
2014-01-21,51.2
2014-01-22,51.5
2014-01-23,51.7
2014-01-24,51.8
2014-01-25,51.8
2014-01-26,51.9
2014-01-27,51.9
2014-01-28,52
2014-01-29,52.1
2014-01-30,52.1
2014-01-31,52
2014-02-01,51.9
2014-02-02,51.9
2014-02-03,51.9
2014-02-04,52.1
2014-02-05,52.3
2014-02-06,52.5
2014-02-07,52.5
2014-02-08,52.7
2014-02-09,52.7
2014-02-10,52.7
2014-02-11,52.7
2014-02-12,52.7
2014-02-13,52.7
2014-02-14,52.4
2014-02-15,52.6
2014-02-16,52.4
2014-02-17,52.6
2014-02-18,52.6
2014-02-19,52.5
2014-02-20,52.4
2014-02-21,52.5
2014-02-22,52.5
2014-02-23,52.3
2014-02-24,52.5
2014-02-25,51.2
2014-02-26,50.8
2014-02-27,50.4
2014-02-28,50.5
2014-03-01,50.9
2014-03-02,50.9
2014-03-03,50.7
2014-03-04,49.6
2014-03-05,50.7
2014-03-06,51.5
2014-03-07,52.1
2014-03-08,52.4
2014-03-09,52.5
2014-03-10,52.8
2014-03-11,53.1
2014-03-12,53.2
2014-03-13,53.4
2014-03-14,53.5
2014-03-15,53.7
2014-03-16,53.7
2014-03-17,53.8
2014-03-18,53.8
2014-03-19,53.7
2014-03-20,53.6
2014-03-21,53.4
2014-03-22,52.7
2014-03-23,54
2014-03-24,53.2
2014-03-25,52.7
2014-03-26,52.7
2014-03-27,52.9
2014-03-28,52.7
2014-03-29,52.6
2014-03-30,52.7
2014-03-31,52.8
2014-04-01,53
2014-04-02,53.4
2014-04-03,53.8
2014-04-04,54
2014-04-05,54.1
2014-04-06,54.1
2014-04-07,54.1
2014-04-08,54
2014-04-09,53.9
2014-04-10,53.8
2014-04-11,53.1
2014-04-12,52.1
2014-04-13,53.8
2014-04-14,53.4
2014-04-15,53.1
2014-04-16,53.1
2014-04-17,52.6
2014-04-18,52.6
2014-04-19,52.3
2014-04-20,52.5
2014-04-21,52.2
2014-04-22,52.7
2014-04-23,52.2
2014-04-24,52.6
2014-04-25,53.1
2014-04-26,53.5
2014-04-27,53.1
2014-04-28,53.2
2014-04-29,52.5
2014-04-30,51.5
2014-05-01,51.7
2014-05-02,51.5
2014-05-03,51.9
2014-05-04,51.9
2014-05-05,52
2014-05-06,52.1
2014-05-07,52.7
2014-05-08,52.6
2014-05-09,52.3
2014-05-10,52.6
2014-05-11,53
2014-05-12,54.4
2014-05-13,54.1
2014-05-14,54.1
2014-05-15,53.7
2014-05-16,53.4
2014-05-17,53.8
2014-05-18,54.6
2014-05-19,54.7
2014-05-20,54.4
2014-05-21,54.7
2014-05-22,55.2
2014-05-23,55.5
2014-05-24,55.5
2014-05-25,55.2
2014-05-26,55.6
2014-05-27,55.4
2014-05-28,55.6
2014-05-29,54.9
2014-05-30,55
2014-05-31,55.4
2014-06-01,55.4
2014-06-02,55.5
2014-06-03,55.2
2014-06-04,55
2014-06-05,55
2014-06-06,54.7
2014-06-07,54.9
2014-06-08,55.6
2014-06-09,54.7
2014-06-10,55
2014-06-11,54.7
2014-06-12,55.2
2014-06-13,55.6
2014-06-14,55.4
2014-06-15,55.5
2014-06-16,55.6
2014-06-17,55.6
2014-06-18,55.6
2014-06-19,56
2014-06-20,56.4
2014-06-21,56.3
2014-06-22,56.4
2014-06-23,56.6
2014-06-24,56.3
2014-06-25,56
2014-06-26,56
2014-06-27,56.4
2014-06-28,56.6
2014-06-29,56.4
2014-06-30,56.1
2014-07-01,56.6
2014-07-02,56.8
2014-07-03,56.3
2014-07-04,56.2
2014-07-05,55.8
2014-07-06,55.7
2014-07-07,55.6
2014-07-08,55.5
2014-07-09,55.6
2014-07-10,55.7
2014-07-11,55.3
2014-07-12,55.7
2014-07-13,56
2014-07-14,55.9
2014-07-15,56.3
2014-07-16,55.8
2014-07-17,56.1
2014-07-18,56.1
2014-07-19,56
2014-07-20,55.9
2014-07-21,55.9
2014-07-22,55.6
2014-07-23,55.6
2014-07-24,55.7
2014-07-25,55.5
2014-07-26,55.3
2014-07-27,55.3
2014-07-28,54.9
2014-07-29,54.7
2014-07-30,55
2014-07-31,54.6
2014-08-01,54.4
2014-08-02,54.7
2014-08-03,54.4
2014-08-04,54.7
2014-08-05,54.1
2014-08-06,53.6
2014-08-07,51.9
2014-08-08,51.2
2014-08-09,50.9
2014-08-10,50.5
2014-08-11,50.3
2014-08-12,50.2
2014-08-13,49.9
2014-08-14,49.6
2014-08-15,49.5
2014-08-16,49.3
2014-08-17,49.2
2014-08-18,49.6
2014-08-19,49.4
2014-08-20,49.9
2014-08-21,49.9
2014-08-22,49.3
2014-08-23,49.6
2014-08-24,49.1
2014-08-25,49.2
2014-08-26,48.7
2014-08-27,48.5
2014-08-28,48.7
2014-08-29,48.4
2014-08-30,48.6
2014-08-31,49.2
2014-09-01,49.5
2014-09-02,50.6
2014-09-03,50.2
2014-09-04,49.2
2014-09-05,49.7
2014-09-06,49.4
2014-09-07,49.5
2014-09-08,49.1
2014-09-09,49.3
2014-09-10,49.2
2014-09-11,49.1
2014-09-12,49.4
2014-09-13,49.1
2014-09-14,49.1
2014-09-15,49.6
2014-09-16,49.8
2014-09-17,50.1
2014-09-18,49.7
2014-09-19,49.9
2014-09-20,49.4
2014-09-21,49.4
2014-09-22,49.1
2014-09-23,49.4
2014-09-24,49.4
2014-09-25,49.7
2014-09-26,49.8
2014-09-27,49.9
2014-09-28,49.2
2014-09-29,49.1
2014-09-30,49.2
2014-10-01,48.8
2014-10-02,48.7
2014-10-03,48.9
