date,value
2013-04-28,49.40
2013-04-29,49.30
2013-04-30,49.50
2013-05-01,50.20
2013-05-02,50.90
2013-05-03,50.70
2013-05-04,51.20
2013-05-05,51.10
2013-05-06,51.20
2013-05-07,51.20
2013-05-08,51.40
2013-05-09,51.10
2013-05-10,50.70
2013-05-11,50.60
2013-05-12,50.80
2013-05-13,50.00
2013-05-14,50.30
2013-05-15,50.20
2013-05-16,49.80
2013-05-17,48.40
2013-05-18,48.90
2013-05-19,48.80
2013-05-20,49.80
2013-05-21,50.20
2013-05-22,50.40
2013-05-23,50.00
2013-05-24,49.90
2013-05-25,49.90
2013-05-26,49.90
2013-05-27,49.70
2013-05-28,49.50
2013-05-29,49.30
2013-05-30,49.30
2013-05-31,49.10
2013-06-01,49.00
2013-06-02,49.50
2013-06-03,49.80
2013-06-04,49.90
2013-06-05,49.80
2013-06-06,50.00
2013-06-07,51.80
2013-06-08,51.90
2013-06-09,52.00
2013-06-10,52.20
2013-06-11,52.30
2013-06-12,52.30
2013-06-13,52.50
2013-06-14,52.40
2013-06-15,52.50
2013-06-16,52.50
2013-06-17,52.50
2013-06-18,52.50
2013-06-19,52.40
2013-06-20,52.40
2013-06-21,52.40
2013-06-22,52.30
2013-06-23,52.30
2013-06-24,52.20
2013-06-25,52.30
2013-06-26,52.20
2013-06-27,52.20
2013-06-28,52.10
2013-06-29,52.10
2013-06-30,52.20
2013-07-01,52.10
2013-07-02,52.20
2013-07-03,52.30
2013-07-04,52.10
2013-07-05,52.20
2013-07-06,52.10
2013-07-07,52.10
2013-07-08,52.10
2013-07-09,52.10
2013-07-10,51.90
2013-07-11,52.10
2013-07-12,52.20
2013-07-13,52.10
2013-07-14,52.10
2013-07-15,52.10
2013-07-16,52.00
2013-07-17,51.50
2013-07-18,53.30
2013-07-19,53.20
2013-07-20,52.60
2013-07-21,52.20
2013-07-22,52.00
2013-07-23,52.10
2013-07-24,52.20
2013-07-25,52.00
2013-07-26,52.10
2013-07-27,52.50
2013-07-28,52.60
2013-07-29,52.70
2013-07-30,52.30
2013-07-31,52.20
2013-08-01,52.20
2013-08-02,52.30
2013-08-03,52.00
2013-08-04,51.70
2013-08-05,50.80
2013-08-06,51.70
2013-08-07,52.00
2013-08-08,51.50
2013-08-09,51.10
2013-08-10,49.90
2013-08-11,51.10
2013-08-12,51.40
2013-08-13,51.70
2013-08-14,50.90
2013-08-15,50.30
2013-08-16,51.50
2013-08-17,52.30
2013-08-18,52.60
2013-08-19,52.40
2013-08-20,52.20
2013-08-21,51.80
2013-08-22,52.10
2013-08-23,51.80
2013-08-24,51.70
2013-08-25,51.50
2013-08-26,52.00
2013-08-27,52.30
2013-08-28,52.40
2013-08-29,52.70
2013-08-30,53.10
2013-08-31,53.20
2013-09-01,53.20
2013-09-02,53.20
2013-09-03,52.80
2013-09-04,53.10
2013-09-05,52.90
2013-09-06,53.10
2013-09-07,53.70
2013-09-08,53.80
2013-09-09,53.50
2013-09-10,53.30
2013-09-11,53.50
2013-09-12,54.00
2013-09-13,53.90
2013-09-14,53.20
2013-09-15,53.70
2013-09-16,53.90
2013-09-17,53.70
2013-09-18,54.00
2013-09-19,53.80
2013-09-20,54.00
2013-09-21,54.10
2013-09-22,54.60
2013-09-23,54.70
2013-09-24,54.10
2013-09-25,55.00
2013-09-26,54.70
2013-09-27,54.70
2013-09-28,54.70
2013-09-29,55.20
2013-09-30,55.40
2013-10-01,55.30
2013-10-02,55.00
2013-10-03,55.20
2013-10-04,54.90
2013-10-05,55.40
2013-10-06,55.00
2013-10-07,54.90
2013-10-08,55.00
2013-10-09,54.60
2013-10-10,55.00
2013-10-11,54.60
2013-10-12,54.70
2013-10-13,54.30
2013-10-14,53.70
2013-10-15,52.90
2013-10-16,52.70
2013-10-17,53.80
2013-10-18,53.80
2013-10-19,54.10
2013-10-20,53.80
2013-10-21,53.30
2013-10-22,53.80
2013-10-23,53.70
2013-10-24,53.60
2013-10-25,53.80
2013-10-26,53.90
2013-10-27,53.80
2013-10-28,53.70
2013-10-29,53.80
2013-10-30,53.10
2013-10-31,53.60
2013-11-01,53.70
2013-11-02,53.70
2013-11-03,53.40
2013-11-04,53.60
2013-11-05,53.20
2013-11-06,53.30
2013-11-07,53.80
2013-11-08,53.60
2013-11-09,53.30
2013-11-10,53.10
2013-11-11,52.90
2013-11-12,51.20
2013-11-13,49.60
2013-11-14,50.20
2013-11-15,49.60
2013-11-16,49.50
2013-11-17,49.00
2013-11-18,48.60
2013-11-19,48.30
2013-11-20,48.20
2013-11-21,48.00
2013-11-22,48.00
2013-11-23,48.50
2013-11-24,49.00
2013-11-25,49.60
2013-11-26,50.80
2013-11-27,50.60
2013-11-28,51.10
2013-11-29,51.50
2013-11-30,51.50
2013-12-01,51.80
2013-12-02,51.50
2013-12-03,51.40
2013-12-04,50.30
2013-12-05,50.50
2013-12-06,52.00
2013-12-07,52.30
2013-12-08,52.10
2013-12-09,51.20
2013-12-10,50.70
2013-12-11,50.10
2013-12-12,49.60
2013-12-13,48.90
2013-12-14,48.40
2013-12-15,48.20
2013-12-16,48.00
2013-12-17,47.70
2013-12-18,47.50
2013-12-19,47.50
2013-12-20,47.50
2013-12-21,47.50
2013-12-22,47.60
2013-12-23,49.00
2013-12-24,49.70
2013-12-25,49.50
2013-12-26,49.70
2013-12-27,50.00
2013-12-28,50.30
2013-12-29,50.20
2013-12-30,50.50
2013-12-31,50.60
2014-01-01,50.60
2014-01-02,50.60
2014-01-03,50.60
2014-01-04,50.60
2014-01-05,50.60
2014-01-06,51.50
2014-01-07,51.50
2014-01-08,52.00
2014-01-09,51.90
2014-01-10,51.70
2014-01-11,51.10
2014-01-12,50.90
2014-01-13,50.20
2014-01-14,50.20
2014-01-15,50.50
2014-01-16,50.50
2014-01-17,50.10
2014-01-18,50.40
2014-01-19,50.80
2014-01-20,50.90
2014-01-21,51.20
2014-01-22,51.50
2014-01-23,51.70
2014-01-24,51.80
2014-01-25,51.80
2014-01-26,51.90
2014-01-27,51.90
2014-01-28,52.00
2014-01-29,52.10
2014-01-30,52.10
2014-01-31,52.00
2014-02-01,51.90
2014-02-02,51.90
2014-02-03,51.90
2014-02-04,52.10
2014-02-05,52.30
2014-02-06,52.50
2014-02-07,52.50
2014-02-08,52.70
2014-02-09,52.70
2014-02-10,52.70
2014-02-11,52.70
2014-02-12,52.70
2014-02-13,52.70
2014-02-14,52.40
2014-02-15,52.60
2014-02-16,52.40
